submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,city,geo_criterion_id,geo_canonical_name,geo_target_type,geo_status,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,20,MEDIUM,65,35.3187,19.6350,29.2983,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,90,HIGH,100,22.2663,7.2001,32.5058,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,HIGH,83,0.0000,4.0078,27.9482,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,MEDIUM,55,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,20,MEDIUM,56,11.1022,2.2633,7.8946,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,50,HIGH,85,7.5500,2.4865,8.5560,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,MEDIUM,57,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,20,HIGH,86,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,HIGH,80,16.5950,5.0944,19.2167,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,LOW,29,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,HIGH,89,4.4288,2.5855,6.8737,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,MEDIUM,60,23.3021,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,MEDIUM,61,15.7344,7.9537,15.9499,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,30,HIGH,71,16.9741,2.4336,9.8986,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Reading,1007009,"Reading, Reading, England, United Kingdom",City,Active,20,LOW,31,2.2017,2.1572,5.9558,generic_query_inside_local_geo_target,2026-09-03
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,320,HIGH,71,5.4468,4.9299,20.4912,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,170,HIGH,100,1.9459,2.3377,7.4026,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,50,HIGH,80,40.8619,9.4328,31.6386,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,50,MEDIUM,51,7.7731,5.5914,12.1809,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,50,MEDIUM,43,1.0564,1.4870,3.8315,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,170,HIGH,70,4.2670,1.3907,5.1371,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,50,MEDIUM,65,3.4053,0.9961,2.2804,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,30,MEDIUM,58,8.5984,2.7529,10.6294,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,40,HIGH,68,4.2722,2.9524,7.5803,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,40,LOW,30,0.0000,0.6761,34.6612,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,70,MEDIUM,38,3.9319,1.1734,3.9032,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,20,HIGH,78,1.0960,0.6949,1.3449,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,50,HIGH,69,9.5281,2.7854,32.0547,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,10,HIGH,86,16.2250,10.0854,15.5861,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,50,HIGH,78,3.6553,0.9038,2.2981,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Edinburgh,1007326,"Edinburgh, Scotland, United Kingdom",City,Active,90,HIGH,70,7.6442,2.1072,9.5646,generic_query_inside_local_geo_target,2026-09-03
