returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
spa weekends uk,,spa weekends uk,"Wellness, spa and retreats: Spa weekends",2400,HIGH,100,0.8815,0.2995,1.4283,2025-august:2400|2025-september:2400|2025-october:2400|2025-november:1900|2025-december:1900|2026-january:2900|2026-february:2400|2026-march:2400|2026-april:1900|2026-may:2900|2026-june:2900|2026-july:2900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
table tennis clubs near me,,table tennis clubs near me,Racket and team sport: Table tennis,2400,LOW,3,0.3410,1.5805,14.8280,2025-august:2400|2025-september:2900|2025-october:2400|2025-november:2400|2025-december:1900|2026-january:2900|2026-february:2400|2026-march:2400|2026-april:1900|2026-may:1600|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
walking groups near me,,walking groups near me,Outdoor and endurance: Walking groups,2400,LOW,8,3.4717,0.5008,1.8906,2025-august:2900|2025-september:2900|2025-october:2900|2025-november:1900|2025-december:1900|2026-january:3600|2026-february:2400|2026-march:2400|2026-april:2900|2026-may:2400|2026-june:1900|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wellness retreats uk,,wellness retreats uk,"Wellness, spa and retreats: Wellness retreats",2400,HIGH,94,0.8189,0.2968,1.0086,2025-august:2900|2025-september:2400|2025-october:2400|2025-november:1900|2025-december:1900|2026-january:2900|2026-february:2400|2026-march:2400|2026-april:1900|2026-may:2400|2026-june:1900|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
yoga retreats uk,,yoga retreats uk,"Wellness, spa and retreats: Yoga retreats",2400,HIGH,70,1.1447,0.3114,1.1877,2025-august:2900|2025-september:3600|2025-october:2400|2025-november:1900|2025-december:1900|2026-january:2900|2026-february:2400|2026-march:2400|2026-april:2400|2026-may:2400|2026-june:2400|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
5 a side football near me,,5 a side football near me,Racket and team sport: Five-a-side football,1900,LOW,14,1.0579,0.2863,1.3720,2025-august:1900|2025-september:2400|2025-october:2400|2025-november:2400|2025-december:1300|2026-january:1900|2026-february:1600|2026-march:1900|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
barista course near me,,barista course near me,Food and drink: Coffee workshops,1900,HIGH,99,0.7348,0.2718,0.8543,2025-august:2400|2025-september:1900|2025-october:1900|2025-november:1900|2025-december:1900|2026-january:2400|2026-february:1900|2026-march:1900|2026-april:1600|2026-may:1900|2026-june:1900|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bike clubs near me,,bike clubs near me,Outdoor and endurance: Cycling clubs,1900,LOW,9,1.6667,0.6673,2.0286,2025-august:2900|2025-september:2400|2025-october:1900|2025-november:1300|2025-december:1300|2026-january:1600|2026-february:1600|2026-march:1900|2026-april:2400|2026-may:2400|2026-june:2400|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cycling clubs near me,,cycling clubs near me,Outdoor and endurance: Cycling clubs,1900,LOW,9,1.6667,0.6673,2.0286,2025-august:2900|2025-september:2400|2025-october:1900|2025-november:1300|2025-december:1300|2026-january:1600|2026-february:1600|2026-march:1900|2026-april:2400|2026-may:2400|2026-june:2400|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
disc golf near me,,disc golf near me,Outdoor and endurance: Disc golf,1900,LOW,4,1.6304,0.7992,4.7322,2025-august:2900|2025-september:1900|2025-october:1300|2025-november:1000|2025-december:880|2026-january:1000|2026-february:880|2026-march:1600|2026-april:2400|2026-may:2900|2026-june:2400|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
five a side football near me,,five a side football near me,Racket and team sport: Five-a-side football,1900,LOW,14,1.0579,0.2863,1.3720,2025-august:1900|2025-september:2400|2025-october:2400|2025-november:2400|2025-december:1300|2026-january:1900|2026-february:1600|2026-march:1900|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
floristry courses near me,,floristry courses near me,Craft and making: Floristry,1900,MEDIUM,65,0.7347,0.2681,0.5646,2025-august:1900|2025-september:2400|2025-october:1900|2025-november:1600|2025-december:1600|2026-january:2400|2026-february:2400|2026-march:2400|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
hockey clubs near me,,hockey clubs near me,Racket and team sport: Hockey,1900,LOW,1,0.0123,0.0000,0.0000,2025-august:1900|2025-september:2400|2025-october:2400|2025-november:1900|2025-december:1300|2026-january:1900|2026-february:3600|2026-march:1900|2026-april:1000|2026-may:1600|2026-june:1000|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
martial arts classes near me,,martial arts classes near me,Fitness and mind-body: Martial arts,1900,LOW,28,1.0966,0.3377,1.4649,2025-august:2400|2025-september:2900|2025-october:2400|2025-november:1900|2025-december:1300|2026-january:2400|2026-february:1600|2026-march:1900|2026-april:1600|2026-may:1300|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
painting classes near me,,painting classes near me,Craft and making: Painting classes,1900,HIGH,83,0.8669,0.3022,1.1502,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1900|2025-december:1600|2026-january:2400|2026-february:1900|2026-march:1900|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
baking classes near me,,baking classes near me,Food and drink: Baking classes,1600,HIGH,91,0.7691,0.2516,0.9490,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1900|2025-december:1600|2026-january:1900|2026-february:1600|2026-march:1600|2026-april:1300|2026-may:1300|2026-june:1300|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
barre classes near me,,barre classes near me,Fitness and mind-body: Barre classes,1600,LOW,27,1.2808,0.5160,1.6682,2025-august:1600|2025-september:1300|2025-october:1600|2025-november:1000|2025-december:1000|2026-january:2400|2026-february:1600|2026-march:1900|2026-april:1300|2026-may:1300|2026-june:1300|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bootcamp near me,,bootcamp near me,Fitness and mind-body: Bootcamps,1600,LOW,30,1.2090,0.4917,1.5673,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1300|2025-december:1000|2026-january:1900|2026-february:1600|2026-march:1900|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1300,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cake decorating classes near me,,cake decorating classes near me,Food and drink: Cake decorating,1600,HIGH,100,0.4378,0.2144,0.8094,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1900|2025-december:1600|2026-january:1900|2026-february:1900|2026-march:1900|2026-april:1300|2026-may:1300|2026-june:1300|2026-july:1300,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cold plunge near me,,cold plunge near me,Fitness and mind-body: Cold-water therapy,1600,MEDIUM,39,0.5269,0.3615,1.4195,2025-august:1600|2025-september:1300|2025-october:1300|2025-november:1000|2025-december:1300|2026-january:1600|2026-february:1300|2026-march:1300|2026-april:1300|2026-may:1900|2026-june:1900|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
fitness bootcamp near me,,fitness bootcamp near me,Fitness and mind-body: Bootcamps,1600,LOW,30,1.2090,0.4917,1.5673,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1300|2025-december:1000|2026-january:1900|2026-february:1600|2026-march:1900|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1300,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
kickboxing classes near me,,kickboxing classes near me,Fitness and mind-body: Kickboxing,1600,LOW,28,1.2131,0.4466,1.7718,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1900|2025-december:1300|2026-january:1900|2026-february:1600|2026-march:1600|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spa retreat near me,,spa retreat near me,"Wellness, spa and retreats: Spa retreats",1600,HIGH,100,0.6357,0.2382,0.8537,2025-august:1900|2025-september:1600|2025-october:1600|2025-november:1600|2025-december:1600|2026-january:1900|2026-february:1900|2026-march:1600|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
street dance classes near me,,street dance classes near me,Performance and dance: Street dance,1600,LOW,13,1.4050,0.2690,1.7228,2025-august:1600|2025-september:2400|2025-october:1900|2025-november:1900|2025-december:1600|2026-january:2900|2026-february:1900|2026-march:1900|2026-april:1300|2026-may:1300|2026-june:1300|2026-july:1300,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
surfing near me,,surfing near me,Outdoor and endurance: Surfing,1600,LOW,20,0.3327,0.2420,0.8470,2025-august:3600|2025-september:1300|2025-october:880|2025-november:590|2025-december:590|2026-january:720|2026-february:720|2026-march:1000|2026-april:1600|2026-may:1900|2026-june:1900|2026-july:2900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
swimming clubs near me,,swimming clubs near me,Outdoor and endurance: Swimming clubs,1600,LOW,16,0.6512,0.3686,1.0148,2025-august:1600|2025-september:2400|2025-october:1600|2025-november:1600|2025-december:1000|2026-january:1600|2026-february:1300|2026-march:1600|2026-april:1300|2026-may:1300|2026-june:1300|2026-july:1300,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
woodworking courses near me,,woodworking courses near me,Craft and making: Woodworking,1600,HIGH,71,1.2236,0.2595,1.4560,2025-august:1600|2025-september:1900|2025-october:1600|2025-november:1600|2025-december:1600|2026-january:1900|2026-february:1300|2026-march:1300|2026-april:1300|2026-may:1300|2026-june:1000|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wreath making near me,,wreath making near me,Craft and making: Wreath making,1600,LOW,26,0.4845,0.3718,1.4295,2025-august:590|2025-september:2400|2025-october:4400|2025-november:8100|2025-december:2400|2026-january:140|2026-february:110|2026-march:140|2026-april:70|2026-may:30|2026-june:90|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
baking courses near me,,baking courses near me,Food and drink: Baking classes,1300,MEDIUM,66,1.0543,0.3549,1.0338,2025-august:1300|2025-september:1600|2025-october:1600|2025-november:1300|2025-december:1000|2026-january:1600|2026-february:1300|2026-march:1300|2026-april:1000|2026-may:1000|2026-june:1000|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
community gardening near me,,community gardening near me,Community and alternative: Community gardening,1300,LOW,3,2.4409,0.8458,14.8280,2025-august:1600|2025-september:1600|2025-october:1600|2025-november:880|2025-december:720|2026-january:1600|2026-february:1000|2026-march:1600|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
drawing classes near me,,drawing classes near me,Craft and making: Drawing classes,1300,MEDIUM,36,1.3041,0.3462,1.3877,2025-august:1600|2025-september:1600|2025-october:1600|2025-november:1600|2025-december:1300|2026-january:1900|2026-february:1300|2026-march:1300|2026-april:1000|2026-may:1000|2026-june:1000|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dungeons and dragons near me,,dungeons and dragons near me,Tabletop and games: Dungeons & Dragons,1300,LOW,9,0.1490,0.2127,1.1264,2025-august:1000|2025-september:1000|2025-october:1300|2025-november:1300|2025-december:1300|2026-january:1900|2026-february:1300|2026-march:1000|2026-april:1000|2026-may:1000|2026-june:880|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
glass blowing experience,,glass blowing experience,Craft and making: Glassblowing,1300,HIGH,100,0.7955,0.2953,1.1354,2025-august:1600|2025-september:1300|2025-october:1600|2025-november:1900|2025-december:2400|2026-january:1600|2026-february:1300|2026-march:1300|2026-april:1000|2026-may:880|2026-june:880|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
immersive theatre,,immersive theatre,Live culture: Immersive theatre,1300,LOW,10,1.9564,0.5162,1.4828,2025-august:1300|2025-september:1300|2025-october:1300|2025-november:1000|2025-december:1600|2026-january:1300|2026-february:1000|2026-march:1300|2026-april:1600|2026-may:1000|2026-june:880|2026-july:1300,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
life drawing classes near me,,life drawing classes near me,Craft and making: Life drawing,1300,LOW,14,1.4442,0.3578,1.3555,2025-august:1600|2025-september:1600|2025-october:1300|2025-november:1000|2025-december:1000|2026-january:1600|2026-february:1300|2026-march:1300|2026-april:880|2026-may:880|2026-june:1000|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pottery workshop near me,,pottery workshop near me,Craft and making: Pottery classes,1300,HIGH,100,0.6259,0.3203,0.9271,2025-august:1300|2025-september:1300|2025-october:1300|2025-november:1600|2025-december:1600|2026-january:1900|2026-february:1600|2026-march:1600|2026-april:1000|2026-may:1000|2026-june:880|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spa retreats uk,,spa retreats uk,"Wellness, spa and retreats: Spa retreats",1300,HIGH,100,0.8113,0.2628,0.8468,2025-august:1300|2025-september:1000|2025-october:1300|2025-november:1000|2025-december:1000|2026-january:1600|2026-february:1300|2026-march:1300|2026-april:1000|2026-may:1000|2026-june:880|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spa weekend near me,,spa weekend near me,"Wellness, spa and retreats: Spa weekends",1300,HIGH,100,0.6813,0.1993,0.7530,2025-august:1300|2025-september:1900|2025-october:1600|2025-november:1600|2025-december:1300|2026-january:1900|2026-february:1600|2026-march:1300|2026-april:880|2026-may:720|2026-june:590|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
squash clubs near me,,squash clubs near me,Racket and team sport: Squash,1300,LOW,10,0.2350,0.4719,1.4828,2025-august:1300|2025-september:1600|2025-october:1600|2025-november:1000|2025-december:1000|2026-january:1600|2026-february:3600|2026-march:1000|2026-april:880|2026-may:1000|2026-june:880|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wreath making workshop near me,,wreath making workshop near me,Craft and making: Wreath making,1300,LOW,32,0.7407,0.4099,1.2064,2025-august:720|2025-september:2900|2025-october:4400|2025-november:5400|2025-december:1000|2026-january:70|2026-february:70|2026-march:90|2026-april:70|2026-may:50|2026-june:70|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
ballroom dancing near me,,ballroom dancing near me,Performance and dance: Ballroom dancing,1000,LOW,11,0.7535,0.2590,1.3650,2025-august:1000|2025-september:1600|2025-october:2400|2025-november:1600|2025-december:1000|2026-january:1300|2026-february:880|2026-march:720|2026-april:590|2026-may:590|2026-june:480|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
calisthenics classes near me,,calisthenics classes near me,Fitness and mind-body: Calisthenics,1000,MEDIUM,37,1.2470,0.5964,1.4645,2025-august:880|2025-september:1000|2025-october:1000|2025-november:880|2025-december:1000|2026-january:1300|2026-february:880|2026-march:880|2026-april:880|2026-may:1000|2026-june:1000|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cookery courses near me,,cookery courses near me,Food and drink: Cooking classes,1000,HIGH,100,1.2763,0.3675,1.6723,2025-august:1000|2025-september:1300|2025-october:1000|2025-november:1600|2025-december:1600|2026-january:1300|2026-february:880|2026-march:1000|2026-april:720|2026-may:720|2026-june:720|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
couples retreats uk,,couples retreats uk,"Wellness, spa and retreats: Couples retreats",1000,HIGH,100,0.5831,0.2267,0.6937,2025-august:1300|2025-september:1000|2025-october:1000|2025-november:880|2025-december:880|2026-january:1000|2026-february:880|2026-march:880|2026-april:880|2026-may:1000|2026-june:880|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
creative writing classes near me,,creative writing classes near me,"Ideas, books and learning: Creative-writing classes",1000,HIGH,70,2.1169,0.6340,2.1008,2025-august:1300|2025-september:1600|2025-october:1300|2025-november:1000|2025-december:880|2026-january:1600|2026-february:1300|2026-march:1000|2026-april:880|2026-may:1000|2026-june:1000|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
creative writing workshops near me,,creative writing workshops near me,"Ideas, books and learning: Creative-writing classes",1000,HIGH,70,2.1169,0.6340,2.1008,2025-august:1300|2025-september:1600|2025-october:1300|2025-november:1000|2025-december:880|2026-january:1600|2026-february:1300|2026-march:1000|2026-april:880|2026-may:1000|2026-june:1000|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
foraging courses near me,,foraging courses near me,Nature and animals: Foraging courses,1000,HIGH,100,0.5487,0.1399,0.5598,2025-august:1300|2025-september:1600|2025-october:1900|2025-november:1000|2025-december:1000|2026-january:590|2026-february:590|2026-march:880|2026-april:1000|2026-may:1000|2026-june:720|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
jewellery making classes near me,,jewellery making classes near me,Craft and making: Jewellery making,1000,HIGH,100,0.7121,0.2912,0.8540,2025-august:1300|2025-september:1000|2025-october:1300|2025-november:1300|2025-december:1000|2026-january:1300|2026-february:1000|2026-march:1000|2026-april:880|2026-may:880|2026-june:880|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
meditation retreats uk,,meditation retreats uk,"Wellness, spa and retreats: Meditation retreats",1000,MEDIUM,48,1.6438,0.2009,1.0158,2025-august:1300|2025-september:1000|2025-october:1000|2025-november:880|2025-december:880|2026-january:1000|2026-february:1000|2026-march:1000|2026-april:880|2026-may:880|2026-june:880|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
opera near me,,opera near me,Live culture: Opera,1000,LOW,19,1.4468,0.2584,1.1737,2025-august:1000|2025-september:1000|2025-october:1300|2025-november:1000|2025-december:1000|2026-january:1000|2026-february:1000|2026-march:1000|2026-april:880|2026-may:1000|2026-june:880|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
silent disco near me,,silent disco near me,Community and alternative: Silent discos,1000,LOW,31,1.6047,0.5642,1.4646,2025-august:1600|2025-september:1300|2025-october:1000|2025-november:880|2025-december:720|2026-january:1600|2026-february:1000|2026-march:1000|2026-april:1000|2026-may:1000|2026-june:1000|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
silent retreat uk,,silent retreat uk,"Wellness, spa and retreats: Silent retreats",1000,MEDIUM,36,1.5091,0.1843,0.8127,2025-august:1300|2025-september:1000|2025-october:1300|2025-november:1300|2025-december:1000|2026-january:1300|2026-february:1000|2026-march:1000|2026-april:1000|2026-may:1000|2026-june:880|2026-july:1300,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
watercolour classes near me,,watercolour classes near me,Craft and making: Watercolour classes,1000,MEDIUM,63,1.1495,0.3064,1.3045,2025-august:1300|2025-september:1000|2025-october:880|2025-november:1300|2025-december:1000|2026-january:1600|2026-february:1000|2026-march:1000|2026-april:720|2026-may:720|2026-june:880|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wellness retreat near me,,wellness retreat near me,"Wellness, spa and retreats: Wellness retreats",1000,HIGH,92,0.8692,0.3391,1.0353,2025-august:1300|2025-september:1300|2025-october:1000|2025-november:880|2025-december:720|2026-january:1300|2026-february:1000|2026-march:1000|2026-april:880|2026-may:1000|2026-june:880|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
art workshops near me,,art workshops near me,Craft and making: General art workshops,880,HIGH,90,0.5673,0.2670,0.8739,2025-august:880|2025-september:720|2025-october:1000|2025-november:720|2025-december:590|2026-january:1000|2026-february:880|2026-march:880|2026-april:720|2026-may:720|2026-june:720|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bread making class near me,,bread making class near me,Food and drink: Bread making,880,HIGH,99,0.7469,0.3016,0.9985,2025-august:880|2025-september:1000|2025-october:1000|2025-november:1300|2025-december:1300|2026-january:1300|2026-february:880|2026-march:880|2026-april:590|2026-may:720|2026-june:590|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bread making course near me,,bread making course near me,Food and drink: Bread making,880,HIGH,99,0.7469,0.3016,0.9985,2025-august:880|2025-september:1000|2025-october:1000|2025-november:1300|2025-december:1300|2026-january:1300|2026-february:880|2026-march:880|2026-april:590|2026-may:720|2026-june:590|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
breathwork classes near me,,breathwork classes near me,Fitness and mind-body: Breathwork,880,MEDIUM,36,1.9985,0.5024,2.7412,2025-august:880|2025-september:1300|2025-october:880|2025-november:880|2025-december:720|2026-january:1000|2026-february:720|2026-march:880|2026-april:720|2026-may:590|2026-june:590|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
contemporary dance classes near me,,contemporary dance classes near me,Performance and dance: Contemporary dance,880,LOW,17,1.0768,0.3214,1.1854,2025-august:880|2025-september:1300|2025-october:1000|2025-november:1000|2025-december:720|2026-january:1000|2026-february:880|2026-march:880|2026-april:590|2026-may:590|2026-june:720|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
darts club near me,,darts club near me,Competitive experiences: Darts,880,LOW,10,0.3344,0.2076,0.6450,2025-august:590|2025-september:590|2025-october:590|2025-november:880|2025-december:1600|2026-january:2900|2026-february:1000|2026-march:880|2026-april:590|2026-may:390|2026-june:320|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
gardening classes near me,,gardening classes near me,Nature and animals: Gardening workshops,880,MEDIUM,44,1.2899,0.5154,1.2296,2025-august:1300|2025-september:880|2025-october:720|2025-november:590|2025-december:590|2026-january:880|2026-february:720|2026-march:1000|2026-april:1000|2026-may:1000|2026-june:880|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
knitting groups near me,,knitting groups near me,Craft and making: Knitting groups,880,LOW,1,0.0000,0.0000,0.0000,2025-august:720|2025-september:880|2025-october:880|2025-november:1300|2025-december:720|2026-january:1300|2026-february:880|2026-march:720|2026-april:590|2026-may:590|2026-june:590|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
motorbike clubs near me,,motorbike clubs near me,Technical and maker hobbies: Motorcycle clubs,880,LOW,1,0.3359,0.0000,0.0000,2025-august:1300|2025-september:720|2025-october:720|2025-november:720|2025-december:590|2026-january:720|2026-february:720|2026-march:880|2026-april:1000|2026-may:1000|2026-june:880|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
motorcycle clubs near me,,motorcycle clubs near me,Technical and maker hobbies: Motorcycle clubs,880,LOW,1,0.3359,0.0000,0.0000,2025-august:1300|2025-september:720|2025-october:720|2025-november:720|2025-december:590|2026-january:720|2026-february:720|2026-march:880|2026-april:1000|2026-may:1000|2026-june:880|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
salsa dancing near me,,salsa dancing near me,Performance and dance: Salsa classes,880,LOW,20,0.5306,0.3292,1.0270,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:720|2026-january:1000|2026-february:880|2026-march:720|2026-april:590|2026-may:720|2026-june:720|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
singing groups near me,singing group near me,singing groups near me|singing group near me,Performance and dance: Singing groups,880,LOW,5,3.1802,0.6301,3.9210,2025-august:1300|2025-september:1300|2025-october:1300|2025-november:1000|2025-december:880|2026-january:1300|2026-february:720|2026-march:880|2026-april:720|2026-may:590|2026-june:590|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
singles events near me,,singles events near me,Social and relationship: Singles events,880,MEDIUM,40,2.3693,0.7511,3.0028,2025-august:1000|2025-september:720|2025-october:880|2025-november:880|2025-december:720|2026-january:880|2026-february:880|2026-march:880|2026-april:880|2026-may:880|2026-june:880|2026-july:1000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
stand up comedy near me,,stand up comedy near me,Live culture: Stand-up comedy,880,LOW,32,0.8268,0.1380,0.8855,2025-august:1000|2025-september:880|2025-october:1000|2025-november:880|2025-december:720|2026-january:1000|2026-february:880|2026-march:880|2026-april:880|2026-may:720|2026-june:720|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
yoga retreat near me,,yoga retreat near me,"Wellness, spa and retreats: Yoga retreats",880,MEDIUM,62,0.8244,0.2370,1.0156,2025-august:1000|2025-september:1000|2025-october:880|2025-november:720|2025-december:720|2026-january:1000|2026-february:880|2026-march:880|2026-april:720|2026-may:720|2026-june:720|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
