city,family,format,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
London,Competitive experiences,Darts,darts near me,darts near me,darts near me,,3600,MEDIUM,43,0.3051,0.2898,1.0524,2025-august:3600|2025-september:2900|2025-october:4400|2025-november:4400|2025-december:4400|2026-january:6600|2026-february:4400|2026-march:4400|2026-april:3600|2026-may:2900|2026-june:2400|2026-july:2400,generic_query_inside_local_geo_target,2026-09-03
Leeds,Tabletop and games,Dungeons & Dragons,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,,10,LOW,9,0.1503,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,Craft and making,Sewing classes,sewing classes near me,sewing classes near me,sewing classes near me,,50,MEDIUM,35,0.5066,0.0000,0.0000,2025-august:70|2025-september:70|2025-october:40|2025-november:50|2025-december:40|2026-january:40|2026-february:30|2026-march:40|2026-april:30|2026-may:70|2026-june:30|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Leeds,Food and drink,Wine tasting,wine tasting near me,wine tasting near me,wine tasting near me,,40,HIGH,95,0.9367,0.2964,0.9802,2025-august:50|2025-september:40|2025-october:40|2025-november:40|2025-december:40|2026-january:30|2026-february:30|2026-march:20|2026-april:30|2026-may:30|2026-june:40|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Leeds,Performance and dance,Acting classes,acting classes near me,acting classes near me,acting classes near me,,30,MEDIUM,63,0.7029,0.8867,3.3512,2025-august:40|2025-september:40|2025-october:20|2025-november:20|2025-december:30|2026-january:30|2026-february:40|2026-march:20|2026-april:20|2026-may:20|2026-june:40|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,Tabletop and games,Quiz nights,quiz night near me,quiz night near me,quiz night near me,,20,LOW,3,0.0000,0.0000,0.0000,2025-august:30|2025-september:20|2025-october:30|2025-november:20|2025-december:10|2026-january:20|2026-february:20|2026-march:20|2026-april:10|2026-may:30|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Leeds,Racket and team sport,Volleyball,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,,30,LOW,0,0.0000,0.0000,0.0000,2025-august:20|2025-september:40|2025-october:30|2025-november:30|2025-december:20|2026-january:30|2026-february:20|2026-march:20|2026-april:30|2026-may:40|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Leeds,Racket and team sport,Netball,netball clubs near me,netball clubs near me,netball clubs near me,,30,LOW,6,2.1761,0.0000,0.0000,2025-august:20|2025-september:50|2025-october:40|2025-november:20|2025-december:20|2026-january:20|2026-february:30|2026-march:40|2026-april:30|2026-may:20|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,Outdoor and endurance,Running clubs,running clubs near me,running clubs near me,running clubs near me,,40,LOW,19,0.6209,0.5163,1.2948,2025-august:50|2025-september:40|2025-october:40|2025-november:30|2025-december:40|2026-january:50|2026-february:30|2026-march:30|2026-april:20|2026-may:40|2026-june:40|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Leeds,Tabletop and games,Chess clubs,chess club near me,chess club near me,chess club near me,,20,LOW,1,0.0000,0.0000,0.0000,2025-august:20|2025-september:30|2025-october:20|2025-november:30|2025-december:20|2026-january:20|2026-february:20|2026-march:10|2026-april:10|2026-may:20|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,"Wellness, spa and retreats",Yoga retreats,yoga retreat near me,yoga retreat near me,yoga retreat near me,,10,MEDIUM,64,1.0150,0.4616,0.9016,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,Racket and team sport,Padel,padel near me,padel near me,padel near me,,480,LOW,4,0.5072,0.4934,0.9940,2025-august:590|2025-september:480|2025-october:590|2025-november:480|2025-december:320|2026-january:590|2026-february:480|2026-march:590|2026-april:480|2026-may:590|2026-june:480|2026-july:480,generic_query_inside_local_geo_target,2026-09-03
Leeds,Food and drink,Cooking classes,cooking classes near me,cooking classes near me,cooking classes near me,,50,HIGH,88,0.6088,0.2013,0.9331,2025-august:50|2025-september:50|2025-october:50|2025-november:50|2025-december:50|2026-january:50|2026-february:40|2026-march:40|2026-april:40|2026-may:30|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Leeds,Nature and animals,Nature walks,nature walks near me,nature walks near me,nature walks near me,,70,LOW,17,0.3571,0.1982,1.1076,2025-august:170|2025-september:50|2025-october:50|2025-november:40|2025-december:20|2026-january:30|2026-february:40|2026-march:50|2026-april:40|2026-may:70|2026-june:50|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
Leeds,Social and relationship,Speed dating,speed dating near me,speed dating near me,speed dating near me,,20,MEDIUM,38,0.6243,0.3663,2.1981,2025-august:20|2025-september:40|2025-october:20|2025-november:40|2025-december:20|2026-january:10|2026-february:20|2026-march:10|2026-april:10|2026-may:20|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,Performance and dance,Karaoke,karaoke near me,karaoke near me,karaoke near me,,720,LOW,17,0.2258,0.2393,0.5806,2025-august:720|2025-september:720|2025-october:720|2025-november:720|2025-december:880|2026-january:480|2026-february:590|2026-march:590|2026-april:590|2026-may:720|2026-june:590|2026-july:880,generic_query_inside_local_geo_target,2026-09-03
Leeds,"Wellness, spa and retreats",Spa retreats,spa retreat near me,spa retreat near me,spa retreat near me,,10,HIGH,91,0.6973,0.2942,1.1203,2025-august:10|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Leeds,Craft and making,General art workshops,art workshops near me,art workshops near me,art workshops near me,,10,LOW,29,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,Craft and making,Sip and paint,sip and paint near me,sip and paint near me,sip and paint near me,,20,HIGH,100,0.5803,0.1989,0.7280,2025-august:50|2025-september:10|2025-october:30|2025-november:30|2025-december:20|2026-january:30|2026-february:20|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Bristol,Competitive experiences,Darts,darts near me,darts near me,darts near me,,210,LOW,32,0.3142,0.0000,0.0000,2025-august:110|2025-september:140|2025-october:170|2025-november:170|2025-december:260|2026-january:480|2026-february:260|2026-march:260|2026-april:210|2026-may:140|2026-june:110|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Bristol,Performance and dance,Line dancing,line dancing near me,line dancing near me,line dancing near me,,90,LOW,10,0.0000,0.0000,0.0000,2025-august:90|2025-september:110|2025-october:90|2025-november:90|2025-december:50|2026-january:90|2026-february:70|2026-march:140|2026-april:110|2026-may:50|2026-june:40|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Bristol,Performance and dance,Salsa classes,salsa classes near me,salsa classes near me,salsa classes near me,,30,LOW,21,0.2294,0.0000,0.0000,2025-august:20|2025-september:30|2025-october:30|2025-november:30|2025-december:30|2026-january:30|2026-february:30|2026-march:50|2026-april:20|2026-may:40|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Bristol,Tabletop and games,Board-game cafes,board game cafe near me,board game cafe near me,board game cafe near me,,170,LOW,7,0.1325,0.0000,0.0000,2025-august:170|2025-september:170|2025-october:170|2025-november:210|2025-december:170|2026-january:260|2026-february:260|2026-march:170|2026-april:140|2026-may:170|2026-june:110|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Bristol,Craft and making,Pottery painting,pottery painting near me,pottery painting near me,pottery painting near me,,390,LOW,17,0.1955,0.0000,0.0000,2025-august:480|2025-september:390|2025-october:480|2025-november:320|2025-december:260|2026-january:590|2026-february:590|2026-march:480|2026-april:480|2026-may:320|2026-june:210|2026-july:320,generic_query_inside_local_geo_target,2026-09-03
Bristol,Craft and making,Pottery classes,pottery classes near me,pottery classes near me,pottery classes near me,,170,HIGH,90,0.3903,0.2589,0.6591,2025-august:170|2025-september:140|2025-october:140|2025-november:140|2025-december:170|2026-january:260|2026-february:210|2026-march:170|2026-april:170|2026-may:140|2026-june:110|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
Bristol,Tabletop and games,Dungeons & Dragons,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,,20,LOW,3,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:40|2025-november:20|2025-december:10|2026-january:20|2026-february:20|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Bristol,Craft and making,Sewing classes,sewing classes near me,sewing classes near me,sewing classes near me,,40,HIGH,88,0.4259,0.4285,0.8601,2025-august:70|2025-september:50|2025-october:40|2025-november:30|2025-december:30|2026-january:50|2026-february:40|2026-march:30|2026-april:30|2026-may:40|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Bristol,Food and drink,Wine tasting,wine tasting near me,wine tasting near me,wine tasting near me,,50,HIGH,92,0.3574,0.2676,0.8409,2025-august:50|2025-september:30|2025-october:50|2025-november:50|2025-december:70|2026-january:70|2026-february:30|2026-march:70|2026-april:50|2026-may:50|2026-june:30|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Bristol,Performance and dance,Acting classes,acting classes near me,acting classes near me,acting classes near me,,20,MEDIUM,47,1.3917,0.6367,1.6107,2025-august:20|2025-september:30|2025-october:20|2025-november:10|2025-december:20|2026-january:50|2026-february:20|2026-march:10|2026-april:10|2026-may:10|2026-june:30|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Bristol,Tabletop and games,Quiz nights,quiz night near me,quiz night near me,quiz night near me,,20,LOW,0,0.0000,0.0000,0.0000,2025-august:30|2025-september:20|2025-october:40|2025-november:30|2025-december:20|2026-january:20|2026-february:30|2026-march:30|2026-april:20|2026-may:20|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,Racket and team sport,Volleyball,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,,30,LOW,0,0.0000,0.0000,0.0000,2025-august:30|2025-september:40|2025-october:50|2025-november:20|2025-december:20|2026-january:20|2026-february:20|2026-march:30|2026-april:40|2026-may:20|2026-june:30|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Bristol,Racket and team sport,Netball,netball clubs near me,netball clubs near me,netball clubs near me,,30,LOW,11,0.8661,0.0000,0.0000,2025-august:20|2025-september:40|2025-october:50|2025-november:30|2025-december:20|2026-january:40|2026-february:30|2026-march:50|2026-april:30|2026-may:30|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,Outdoor and endurance,Running clubs,running clubs near me,running clubs near me,running clubs near me,,50,LOW,14,0.0000,0.4742,1.3511,2025-august:70|2025-september:50|2025-october:70|2025-november:30|2025-december:70|2026-january:70|2026-february:50|2026-march:20|2026-april:40|2026-may:70|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Bristol,Tabletop and games,Chess clubs,chess club near me,chess club near me,chess club near me,,30,LOW,0,0.0000,0.0000,0.0000,2025-august:30|2025-september:40|2025-october:40|2025-november:30|2025-december:20|2026-january:30|2026-february:20|2026-march:20|2026-april:30|2026-may:20|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Bristol,"Wellness, spa and retreats",Yoga retreats,yoga retreat near me,yoga retreat near me,yoga retreat near me,,10,MEDIUM,44,0.7057,0.2712,0.7677,2025-august:30|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,Racket and team sport,Padel,padel near me,padel near me,padel near me,,880,LOW,8,0.2357,0.0000,0.0000,2025-august:720|2025-september:720|2025-october:880|2025-november:880|2025-december:590|2026-january:1000|2026-february:880|2026-march:880|2026-april:880|2026-may:880|2026-june:590|2026-july:590,generic_query_inside_local_geo_target,2026-09-03
Bristol,Food and drink,Cooking classes,cooking classes near me,cooking classes near me,cooking classes near me,,50,HIGH,93,0.4301,0.4931,1.1913,2025-august:70|2025-september:70|2025-october:50|2025-november:70|2025-december:70|2026-january:70|2026-february:40|2026-march:40|2026-april:40|2026-may:40|2026-june:20|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Bristol,Nature and animals,Nature walks,nature walks near me,nature walks near me,nature walks near me,,70,LOW,20,0.3276,0.1116,0.9394,2025-august:70|2025-september:70|2025-october:50|2025-november:40|2025-december:40|2026-january:70|2026-february:70|2026-march:90|2026-april:70|2026-may:90|2026-june:50|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Bristol,Social and relationship,Speed dating,speed dating near me,speed dating near me,speed dating near me,,20,MEDIUM,40,0.8501,0.4007,1.1996,2025-august:30|2025-september:20|2025-october:20|2025-november:20|2025-december:10|2026-january:10|2026-february:20|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,Performance and dance,Karaoke,karaoke near me,karaoke near me,karaoke near me,,880,LOW,24,0.1529,0.1987,0.5089,2025-august:1300|2025-september:720|2025-october:880|2025-november:880|2025-december:880|2026-january:720|2026-february:880|2026-march:880|2026-april:880|2026-may:880|2026-june:720|2026-july:880,generic_query_inside_local_geo_target,2026-09-03
Bristol,"Wellness, spa and retreats",Spa retreats,spa retreat near me,spa retreat near me,spa retreat near me,,20,HIGH,95,0.7790,0.5325,1.0427,2025-august:30|2025-september:20|2025-october:20|2025-november:30|2025-december:30|2026-january:20|2026-february:10|2026-march:10|2026-april:20|2026-may:30|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Bristol,Craft and making,General art workshops,art workshops near me,art workshops near me,art workshops near me,,10,HIGH,100,0.2604,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,Craft and making,Sip and paint,sip and paint near me,sip and paint near me,sip and paint near me,,30,HIGH,100,0.2854,0.1601,0.3611,2025-august:40|2025-september:30|2025-october:30|2025-november:30|2025-december:20|2026-january:40|2026-february:40|2026-march:30|2026-april:20|2026-may:30|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Competitive experiences,Darts,darts near me,darts near me,darts near me,,40,MEDIUM,42,0.1605,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:40|2025-november:20|2025-december:70|2026-january:90|2026-february:70|2026-march:40|2026-april:50|2026-may:50|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Performance and dance,Line dancing,line dancing near me,line dancing near me,line dancing near me,,10,LOW,14,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Performance and dance,Salsa classes,salsa classes near me,salsa classes near me,salsa classes near me,,10,LOW,5,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:0|2026-february:0|2026-march:10|2026-april:10|2026-may:10|2026-june:0|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Tabletop and games,Board-game cafes,board game cafe near me,board game cafe near me,board game cafe near me,,30,LOW,15,0.2344,0.0000,0.0000,2025-august:30|2025-september:30|2025-october:40|2025-november:40|2025-december:20|2026-january:30|2026-february:30|2026-march:30|2026-april:20|2026-may:30|2026-june:20|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Craft and making,Pottery painting,pottery painting near me,pottery painting near me,pottery painting near me,,50,LOW,21,0.1676,0.0000,0.0000,2025-august:30|2025-september:40|2025-october:50|2025-november:40|2025-december:10|2026-january:50|2026-february:110|2026-march:50|2026-april:50|2026-may:40|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Craft and making,Pottery classes,pottery classes near me,pottery classes near me,pottery classes near me,,10,MEDIUM,51,1.8810,0.0000,0.0000,2025-august:10|2025-september:20|2025-october:20|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Tabletop and games,Dungeons & Dragons,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,,10,LOW,21,0.0140,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Craft and making,Sewing classes,sewing classes near me,sewing classes near me,sewing classes near me,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:0|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Food and drink,Wine tasting,wine tasting near me,wine tasting near me,wine tasting near me,,10,MEDIUM,36,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:0|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Performance and dance,Acting classes,acting classes near me,acting classes near me,acting classes near me,,10,HIGH,93,1.0750,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:0|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Tabletop and games,Quiz nights,quiz night near me,quiz night near me,quiz night near me,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:0|2025-november:10|2025-december:0|2026-january:10|2026-february:10|2026-march:0|2026-april:0|2026-may:10|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Racket and team sport,Volleyball,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:0|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Racket and team sport,Netball,netball clubs near me,netball clubs near me,netball clubs near me,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:0|2025-december:10|2026-january:0|2026-february:0|2026-march:10|2026-april:10|2026-may:10|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Outdoor and endurance,Running clubs,running clubs near me,running clubs near me,running clubs near me,,10,LOW,18,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:0|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Tabletop and games,Chess clubs,chess club near me,chess club near me,chess club near me,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:0|2026-february:0|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Nottingham,"Wellness, spa and retreats",Yoga retreats,yoga retreat near me,yoga retreat near me,yoga retreat near me,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:0|2025-october:0|2025-november:10|2025-december:10|2026-january:0|2026-february:0|2026-march:0|2026-april:0|2026-may:0|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Racket and team sport,Padel,padel near me,padel near me,padel near me,,70,LOW,11,0.1732,0.0000,0.0000,2025-august:40|2025-september:70|2025-october:90|2025-november:70|2025-december:50|2026-january:70|2026-february:110|2026-march:90|2026-april:70|2026-may:70|2026-june:50|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Food and drink,Cooking classes,cooking classes near me,cooking classes near me,cooking classes near me,,10,HIGH,100,0.6783,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Nature and animals,Nature walks,nature walks near me,nature walks near me,nature walks near me,,10,LOW,5,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Social and relationship,Speed dating,speed dating near me,speed dating near me,speed dating near me,,10,LOW,24,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:0|2026-january:0|2026-february:10|2026-march:0|2026-april:0|2026-may:0|2026-june:0|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Performance and dance,Karaoke,karaoke near me,karaoke near me,karaoke near me,,260,LOW,23,0.1629,0.1862,0.3550,2025-august:210|2025-september:210|2025-october:260|2025-november:210|2025-december:320|2026-january:170|2026-february:210|2026-march:210|2026-april:260|2026-may:320|2026-june:210|2026-july:210,generic_query_inside_local_geo_target,2026-09-03
Nottingham,"Wellness, spa and retreats",Spa retreats,spa retreat near me,spa retreat near me,spa retreat near me,,10,MEDIUM,54,0.5071,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:0|2025-december:0|2026-january:10|2026-february:10|2026-march:0|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Craft and making,General art workshops,art workshops near me,art workshops near me,art workshops near me,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:0|2025-november:0|2025-december:0|2026-january:0|2026-february:10|2026-march:0|2026-april:0|2026-may:0|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Nottingham,Craft and making,Sip and paint,sip and paint near me,sip and paint near me,sip and paint near me,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Southampton,Competitive experiences,Darts,darts near me,darts near me,darts near me,,30,LOW,16,0.0000,0.0000,0.0000,2025-august:20|2025-september:10|2025-october:30|2025-november:10|2025-december:20|2026-january:40|2026-february:30|2026-march:20|2026-april:20|2026-may:40|2026-june:20|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Southampton,Performance and dance,Line dancing,line dancing near me,line dancing near me,line dancing near me,,20,LOW,1,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:20|2025-december:10|2026-january:10|2026-february:20|2026-march:10|2026-april:30|2026-may:20|2026-june:20|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Southampton,Performance and dance,Salsa classes,salsa classes near me,salsa classes near me,salsa classes near me,,10,LOW,4,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:20|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Southampton,Tabletop and games,Board-game cafes,board game cafe near me,board game cafe near me,board game cafe near me,,20,LOW,2,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:20|2025-november:20|2025-december:10|2026-january:20|2026-february:30|2026-march:20|2026-april:20|2026-may:30|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Southampton,Craft and making,Pottery painting,pottery painting near me,pottery painting near me,pottery painting near me,,110,LOW,14,0.2306,0.0000,0.0000,2025-august:90|2025-september:50|2025-october:70|2025-november:110|2025-december:50|2026-january:90|2026-february:110|2026-march:90|2026-april:110|2026-may:170|2026-june:110|2026-july:170,generic_query_inside_local_geo_target,2026-09-03
Southampton,Craft and making,Pottery classes,pottery classes near me,pottery classes near me,pottery classes near me,,20,HIGH,98,0.9426,0.4486,1.6449,2025-august:10|2025-september:20|2025-october:20|2025-november:20|2025-december:20|2026-january:20|2026-february:40|2026-march:20|2026-april:20|2026-may:40|2026-june:30|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Southampton,Tabletop and games,Dungeons & Dragons,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,,10,LOW,14,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Southampton,Craft and making,Sewing classes,sewing classes near me,sewing classes near me,sewing classes near me,,10,MEDIUM,44,0.3781,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:20|2026-may:20|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Southampton,Food and drink,Wine tasting,wine tasting near me,wine tasting near me,wine tasting near me,,10,HIGH,73,0.9006,0.3402,0.7180,2025-august:10|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:20|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Southampton,Performance and dance,Acting classes,acting classes near me,acting classes near me,acting classes near me,,10,MEDIUM,54,1.8325,0.6055,1.5048,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Southampton,Tabletop and games,Quiz nights,quiz night near me,quiz night near me,quiz night near me,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:0|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Southampton,Racket and team sport,Volleyball,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:20|2026-may:20|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
