city,category,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
Nottingham,interest_led,chess club Nottingham,chess club Nottingham,chess club nottingham,chess club Nottingham,70,LOW,3,2.6264,0.0000,0.0000,2025-august:70|2025-september:50|2025-october:90|2025-november:90|2025-december:70|2026-january:90|2026-february:70|2026-march:50|2026-april:70|2026-may:70|2026-june:70|2026-july:70,explicit_city_query_under_uk_target,2026-09-03
Nottingham,interest_led,pottery classes Nottingham,pottery classes Nottingham,pottery classes nottingham,pottery classes Nottingham,590,HIGH,90,0.5210,0.1675,1.8306,2025-august:590|2025-september:590|2025-october:590|2025-november:720|2025-december:720|2026-january:1000|2026-february:880|2026-march:720|2026-april:480|2026-may:480|2026-june:390|2026-july:390,explicit_city_query_under_uk_target,2026-09-03
Nottingham,interest_led,pottery painting Nottingham,pottery painting Nottingham,pottery painting nottingham,pottery painting Nottingham,1900,LOW,6,0.1348,0.0000,0.0000,2025-august:1600|2025-september:1600|2025-october:2400|2025-november:1900|2025-december:1300|2026-january:2400|2026-february:2900|2026-march:2400|2026-april:1600|2026-may:1300|2026-june:1000|2026-july:1600,explicit_city_query_under_uk_target,2026-09-03
Nottingham,dating,singles events Nottingham,singles events Nottingham,singles events nottingham,singles events Nottingham,210,LOW,23,1.9108,0.8948,2.9544,2025-august:210|2025-september:210|2025-october:210|2025-november:210|2025-december:170|2026-january:320|2026-february:260|2026-march:210|2026-april:170|2026-may:210|2026-june:210|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
Nottingham,broad_discovery,things to do Nottingham,things to do Nottingham,things to do nottingham,things to do Nottingham,14800,HIGH,100,0.4045,0.1074,0.9937,2025-august:22200|2025-september:14800|2025-october:18100|2025-november:12100|2025-december:12100|2026-january:14800|2026-february:18100|2026-march:14800|2026-april:14800|2026-may:14800|2026-june:12100|2026-july:14800,explicit_city_query_under_uk_target,2026-09-03
Nottingham,broad_discovery,events Nottingham,events Nottingham,events nottingham,events Nottingham,2400,HIGH,100,0.7927,0.3837,1.9048,2025-august:2900|2025-september:2900|2025-october:2900|2025-november:2400|2025-december:1900|2026-january:2400|2026-february:1900|2026-march:1900|2026-april:1900|2026-may:2900|2026-june:2400|2026-july:2400,explicit_city_query_under_uk_target,2026-09-03
Southampton,friendship_discovery,social events Southampton,social events Southampton,social events southampton,social events Southampton,10,HIGH,80,0.6044,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Southampton,friendship_discovery,meet new people Southampton,meet new people Southampton,meet new people southampton,meet new people Southampton,10,HIGH,86,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Southampton,friendship_discovery,social groups Southampton,social groups Southampton,social groups southampton,social groups Southampton,30,LOW,6,1.1473,0.0000,0.0000,2025-august:40|2025-september:20|2025-october:40|2025-november:30|2025-december:30|2026-january:30|2026-february:30|2026-march:20|2026-april:30|2026-may:30|2026-june:30|2026-july:30,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,public lectures Southampton,public lectures Southampton,public lectures southampton,public lectures Southampton,10,LOW,21,0.8828,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,book club Southampton,book club Southampton,book club southampton,book club Southampton,140,LOW,8,0.5472,0.2539,0.5652,2025-august:140|2025-september:170|2025-october:140|2025-november:110|2025-december:90|2026-january:170|2026-february:110|2026-march:110|2026-april:110|2026-may:110|2026-june:110|2026-july:110,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,board game cafe Southampton,board game cafe Southampton,board game cafe southampton,board game cafe Southampton,140,LOW,0,0.0000,0.0000,0.0000,2025-august:140|2025-september:170|2025-october:170|2025-november:170|2025-december:140|2026-january:210|2026-february:260|2026-march:70|2026-april:70|2026-may:70|2026-june:110|2026-july:90,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,pottery classes Southampton,pottery classes Southampton,pottery classes southampton,pottery classes Southampton,140,HIGH,72,1.1739,0.3041,1.0132,2025-august:140|2025-september:110|2025-october:170|2025-november:140|2025-december:170|2026-january:260|2026-february:210|2026-march:170|2026-april:90|2026-may:90|2026-june:90|2026-july:110,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,pottery painting Southampton,pottery painting Southampton,pottery painting southampton,pottery painting Southampton,1000,LOW,4,0.5768,0.0000,0.0000,2025-august:1000|2025-september:1000|2025-october:1000|2025-november:1000|2025-december:720|2026-january:1300|2026-february:1600|2026-march:1300|2026-april:880|2026-may:720|2026-june:720|2026-july:720,explicit_city_query_under_uk_target,2026-09-03
Southampton,dating,singles events Southampton,singles events Southampton,singles events southampton,singles events Southampton,50,LOW,31,1.9547,0.6132,2.2297,2025-august:40|2025-september:40|2025-october:40|2025-november:40|2025-december:70|2026-january:70|2026-february:70|2026-march:50|2026-april:50|2026-may:70|2026-june:70|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Southampton,dating,singles nights Southampton,singles nights Southampton,singles nights southampton,singles nights Southampton,40,MEDIUM,46,1.8702,0.8475,3.1950,2025-august:30|2025-september:20|2025-october:20|2025-november:30|2025-december:30|2026-january:70|2026-february:40|2026-march:40|2026-april:30|2026-may:40|2026-june:40|2026-july:30,explicit_city_query_under_uk_target,2026-09-03
Southampton,broad_discovery,things to do Southampton,things to do Southampton,things to do southampton,things to do Southampton,9900,HIGH,100,0.4873,0.1499,0.9399,2025-august:14800|2025-september:9900|2025-october:9900|2025-november:6600|2025-december:5400|2026-january:8100|2026-february:9900|2026-march:8100|2026-april:9900|2026-may:9900|2026-june:8100|2026-july:9900,explicit_city_query_under_uk_target,2026-09-03
Southampton,broad_discovery,events Southampton,events Southampton,events southampton,events Southampton,390,HIGH,74,0.9986,0.5666,1.1183,2025-august:590|2025-september:480|2025-october:480|2025-november:320|2025-december:210|2026-january:320|2026-february:320|2026-march:320|2026-april:390|2026-may:590|2026-june:480|2026-july:390,explicit_city_query_under_uk_target,2026-09-03
Reading,friendship_discovery,social groups Reading,social groups Reading,social groups reading,social groups Reading,30,LOW,9,0.0000,0.0000,0.0000,2025-august:40|2025-september:20|2025-october:40|2025-november:30|2025-december:30|2026-january:40|2026-february:20|2026-march:20|2026-april:30|2026-may:20|2026-june:20|2026-july:20,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,book club Reading,book club Reading,book club reading,book club Reading,390,HIGH,99,0.2746,0.0560,0.5392,2025-august:390|2025-september:480|2025-october:480|2025-november:390|2025-december:320|2026-january:590|2026-february:480|2026-march:480|2026-april:390|2026-may:390|2026-june:390|2026-july:320,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,board game cafe Reading,board game cafe Reading,board game cafe reading,board game cafe Reading,90,LOW,0,0.0000,0.0000,0.0000,2025-august:70|2025-september:110|2025-october:90|2025-november:110|2025-december:90|2026-january:90|2026-february:110|2026-march:90|2026-april:90|2026-may:70|2026-june:50|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,chess club Reading,chess club Reading,chess club reading,chess club Reading,30,LOW,4,0.0000,0.0000,0.0000,2025-august:30|2025-september:30|2025-october:30|2025-november:20|2025-december:20|2026-january:40|2026-february:30|2026-march:40|2026-april:20|2026-may:20|2026-june:20|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,pottery classes Reading,pottery classes Reading,pottery classes reading,pottery classes Reading,210,HIGH,97,0.5501,0.2819,1.0018,2025-august:210|2025-september:170|2025-october:210|2025-november:210|2025-december:170|2026-january:390|2026-february:320|2026-march:170|2026-april:170|2026-may:140|2026-june:140|2026-july:110,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,pottery painting Reading,pottery painting Reading,pottery painting reading,pottery painting Reading,880,LOW,3,0.1064,0.2894,1.4835,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:720|2026-january:1000|2026-february:1300|2026-march:1000|2026-april:720|2026-may:590|2026-june:590|2026-july:720,explicit_city_query_under_uk_target,2026-09-03
Reading,dating,singles events Reading,singles events Reading,singles events reading,singles events Reading,40,LOW,29,2.0866,0.6913,3.5172,2025-august:40|2025-september:40|2025-october:40|2025-november:40|2025-december:50|2026-january:30|2026-february:30|2026-march:30|2026-april:30|2026-may:40|2026-june:30|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Reading,dating,singles nights Reading,singles nights Reading,singles nights reading,singles nights Reading,50,MEDIUM,48,1.2457,0.6012,3.1258,2025-august:40|2025-september:50|2025-october:40|2025-november:40|2025-december:40|2026-january:70|2026-february:50|2026-march:50|2026-april:30|2026-may:50|2026-june:50|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Reading,broad_discovery,things to do Reading,things to do Reading,things to do reading,things to do Reading,5400,HIGH,100,0.4022,0.3386,1.2190,2025-august:8100|2025-september:5400|2025-october:6600|2025-november:4400|2025-december:4400|2026-january:5400|2026-february:5400|2026-march:5400|2026-april:5400|2026-may:5400|2026-june:4400|2026-july:5400,explicit_city_query_under_uk_target,2026-09-03
Reading,broad_discovery,events Reading,events Reading,events reading,events Reading,390,LOW,3,1.2671,0.4892,1.6282,2025-august:590|2025-september:390|2025-october:480|2025-november:320|2025-december:260|2026-january:320|2026-february:320|2026-march:320|2026-april:390|2026-may:390|2026-june:390|2026-july:390,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,friendship_discovery,social events Edinburgh,social events Edinburgh,social events edinburgh,social events Edinburgh,30,LOW,15,0.2551,0.1672,0.6828,2025-august:20|2025-september:30|2025-october:50|2025-november:40|2025-december:30|2026-january:40|2026-february:30|2026-march:20|2026-april:30|2026-may:30|2026-june:20|2026-july:30,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,friendship_discovery,meet new people Edinburgh,meet new people Edinburgh,meet new people edinburgh,meet new people Edinburgh,20,LOW,17,2.2287,0.0000,0.0000,2025-august:30|2025-september:20|2025-october:20|2025-november:10|2025-december:20|2026-january:30|2026-february:10|2026-march:20|2026-april:10|2026-may:20|2026-june:20|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,friendship_discovery,make new friends Edinburgh,make new friends Edinburgh,make new friends edinburgh,make new friends Edinburgh,10,LOW,9,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,friendship_discovery,social groups Edinburgh,social groups Edinburgh,social groups edinburgh,social groups Edinburgh,70,LOW,10,0.4883,0.2298,2.4140,2025-august:90|2025-september:70|2025-october:70|2025-november:50|2025-december:30|2026-january:90|2026-february:70|2026-march:50|2026-april:90|2026-may:50|2026-june:50|2026-july:70,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,public lectures Edinburgh,public lectures Edinburgh,public lectures edinburgh,public lectures Edinburgh,30,LOW,12,6.8886,0.0000,0.0000,2025-august:20|2025-september:40|2025-october:30|2025-november:30|2025-december:30|2026-january:40|2026-february:30|2026-march:30|2026-april:20|2026-may:10|2026-june:20|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,book club Edinburgh,book club Edinburgh,book club edinburgh,book club Edinburgh,480,LOW,4,1.5961,0.3056,0.7199,2025-august:480|2025-september:590|2025-october:480|2025-november:390|2025-december:480|2026-january:720|2026-february:480|2026-march:390|2026-april:320|2026-may:390|2026-june:480|2026-july:480,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,board game cafe Edinburgh,board game cafe Edinburgh,board game cafe edinburgh,board game cafe Edinburgh,390,LOW,12,0.6999,0.4347,0.8971,2025-august:320|2025-september:480|2025-october:480|2025-november:390|2025-december:390|2026-january:390|2026-february:390|2026-march:390|2026-april:320|2026-may:320|2026-june:260|2026-july:320,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,chess club Edinburgh,chess club Edinburgh,chess club edinburgh,chess club Edinburgh,480,LOW,3,0.4300,0.0000,0.0000,2025-august:480|2025-september:480|2025-october:480|2025-november:590|2025-december:590|2026-january:480|2026-february:590|2026-march:590|2026-april:590|2026-may:480|2026-june:480|2026-july:390,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,pottery classes Edinburgh,pottery classes Edinburgh,pottery classes edinburgh,pottery classes Edinburgh,1300,HIGH,94,0.6825,0.3132,1.0678,2025-august:1300|2025-september:1600|2025-october:1300|2025-november:1600|2025-december:1600|2026-january:1900|2026-february:1600|2026-march:1600|2026-april:1000|2026-may:1000|2026-june:880|2026-july:880,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,pottery painting Edinburgh,pottery painting Edinburgh,pottery painting edinburgh,pottery painting Edinburgh,1600,LOW,17,0.7901,0.2622,1.0219,2025-august:1300|2025-september:1300|2025-october:1600|2025-november:1600|2025-december:1300|2026-january:1900|2026-february:2400|2026-march:1900|2026-april:1600|2026-may:1300|2026-june:1000|2026-july:1600,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,dating,singles events Edinburgh,singles events Edinburgh,singles events edinburgh,singles events Edinburgh,390,LOW,29,1.4897,0.6015,2.0935,2025-august:320|2025-september:320|2025-october:390|2025-november:390|2025-december:320|2026-january:390|2026-february:390|2026-march:320|2026-april:320|2026-may:390|2026-june:390|2026-july:390,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,dating,singles nights Edinburgh,singles nights Edinburgh,singles nights edinburgh,singles nights Edinburgh,40,LOW,33,1.7743,0.7220,4.0883,2025-august:30|2025-september:40|2025-october:40|2025-november:30|2025-december:20|2026-january:50|2026-february:40|2026-march:50|2026-april:50|2026-may:50|2026-june:40|2026-july:30,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,broad_discovery,things to do Edinburgh,things to do Edinburgh,things to do edinburgh,things to do Edinburgh,6600,HIGH,100,0.6255,0.1154,0.6843,2025-august:6600|2025-september:6600|2025-october:8100|2025-november:6600|2025-december:6600|2026-january:6600|2026-february:6600|2026-march:6600|2026-april:5400|2026-may:5400|2026-june:5400|2026-july:6600,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,broad_discovery,events Edinburgh,events Edinburgh,events edinburgh,events Edinburgh,3600,HIGH,100,1.4216,0.2388,1.4795,2025-august:3600|2025-september:4400|2025-october:3600|2025-november:3600|2025-december:2900|2026-january:2900|2026-february:2900|2026-march:2900|2026-april:2900|2026-may:2900|2026-june:3600|2026-july:3600,explicit_city_query_under_uk_target,2026-09-03
London,friendship_discovery,dinner with strangers London,dinner with strangers London,dinner with strangers london,dinner with strangers London,90,LOW,7,2.8974,1.1639,6.4107,2025-august:110|2025-september:90|2025-october:110|2025-november:90|2025-december:70|2026-january:90|2026-february:70|2026-march:90|2026-april:70|2026-may:50|2026-june:70|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
London,interest_led,live talks London,live talks London,live talks london,live talks London,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Birmingham,friendship_discovery,dinner with strangers Birmingham,dinner with strangers Birmingham,dinner with strangers birmingham,dinner with strangers Birmingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,live talks Birmingham,live talks Birmingham,live talks birmingham,live talks Birmingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,social sports Birmingham,social sports Birmingham,social sports birmingham,social sports Birmingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Birmingham,dating,speed dating Birmingham,speed dating Birmingham,speed dating birmingham,speed dating Birmingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Manchester,friendship_discovery,dinner with strangers Manchester,dinner with strangers Manchester,dinner with strangers manchester,dinner with strangers Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,live talks Manchester,live talks Manchester,live talks manchester,live talks Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,social sports Manchester,social sports Manchester,social sports manchester,social sports Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Manchester,dating,speed dating Manchester,speed dating Manchester,speed dating manchester,speed dating Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Leeds,friendship_discovery,dinner with strangers Leeds,dinner with strangers Leeds,dinner with strangers leeds,dinner with strangers Leeds,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,live talks Leeds,live talks Leeds,live talks leeds,live talks Leeds,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,social sports Leeds,social sports Leeds,social sports leeds,social sports Leeds,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Leeds,dating,speed dating Leeds,speed dating Leeds,speed dating leeds,speed dating Leeds,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Bristol,friendship_discovery,make new friends Bristol,make new friends Bristol,make new friends bristol,make new friends Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Bristol,friendship_discovery,dinner with strangers Bristol,dinner with strangers Bristol,dinner with strangers bristol,dinner with strangers Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,live talks Bristol,live talks Bristol,live talks bristol,live talks Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,social sports Bristol,social sports Bristol,social sports bristol,social sports Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Bristol,dating,speed dating Bristol,speed dating Bristol,speed dating bristol,speed dating Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Nottingham,friendship_discovery,dinner with strangers Nottingham,dinner with strangers Nottingham,dinner with strangers nottingham,dinner with strangers Nottingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Nottingham,interest_led,live talks Nottingham,live talks Nottingham,live talks nottingham,live talks Nottingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Nottingham,interest_led,social sports Nottingham,social sports Nottingham,social sports nottingham,social sports Nottingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Nottingham,dating,speed dating Nottingham,speed dating Nottingham,speed dating nottingham,speed dating Nottingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Nottingham,dating,singles nights Nottingham,singles nights Nottingham,singles nights nottingham,singles nights Nottingham,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Southampton,friendship_discovery,make new friends Southampton,make new friends Southampton,make new friends southampton,make new friends Southampton,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Southampton,friendship_discovery,dinner with strangers Southampton,dinner with strangers Southampton,dinner with strangers southampton,dinner with strangers Southampton,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,live talks Southampton,live talks Southampton,live talks southampton,live talks Southampton,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,chess club Southampton,chess club Southampton,chess club southampton,chess club Southampton,20,LOW,0,0.0000,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:30|2025-november:20|2025-december:20|2026-january:30|2026-february:30|2026-march:30|2026-april:30|2026-may:30|2026-june:20|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Southampton,interest_led,social sports Southampton,social sports Southampton,social sports southampton,social sports Southampton,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Southampton,dating,speed dating Southampton,speed dating Southampton,speed dating southampton,speed dating Southampton,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,friendship_discovery,social events Reading,social events Reading,social events reading,social events Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,friendship_discovery,meet new people Reading,meet new people Reading,meet new people reading,meet new people Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,friendship_discovery,make new friends Reading,make new friends Reading,make new friends reading,make new friends Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,friendship_discovery,dinner with strangers Reading,dinner with strangers Reading,dinner with strangers reading,dinner with strangers Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,public lectures Reading,public lectures Reading,public lectures reading,public lectures Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,live talks Reading,live talks Reading,live talks reading,live talks Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,interest_led,social sports Reading,social sports Reading,social sports reading,social sports Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Reading,dating,speed dating Reading,speed dating Reading,speed dating reading,speed dating Reading,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,friendship_discovery,dinner with strangers Edinburgh,dinner with strangers Edinburgh,dinner with strangers edinburgh,dinner with strangers Edinburgh,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,live talks Edinburgh,live talks Edinburgh,live talks edinburgh,live talks Edinburgh,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,interest_led,social sports Edinburgh,social sports Edinburgh,social sports edinburgh,social sports Edinburgh,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
Edinburgh,dating,speed dating Edinburgh,speed dating Edinburgh,speed dating edinburgh,speed dating Edinburgh,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
