rank,city,family,format,explicit_keyword,explicit_average_monthly_searches,explicit_average_cpc_gbp,explicit_competition_index,local_geo_keyword,local_geo_average_monthly_searches,local_geo_average_cpc_gbp,local_geo_competition_index,comparative_liquidity_index_100,index_method,evidence_note,observed_at
112,Glasgow,Food and drink,Wine tasting,wine tasting Glasgow,1000,0.7473,99,wine tasting near me,20,0.0000,100,53,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
113,Liverpool,Food and drink,Cooking classes,cooking classes Liverpool,720,0.8264,98,cooking classes near me,30,0.6957,100,53,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
114,Manchester,Performance and dance,Line dancing,line dancing Manchester,320,1.7348,3,line dancing near me,70,0.0000,6,53,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
115,Newcastle,Competitive experiences,Darts,darts Newcastle,1900,0.7737,53,darts near me,10,0.0000,0,53,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
116,Birmingham,Performance and dance,Acting classes,acting classes Birmingham,260,1.4808,44,acting classes near me,70,2.7565,50,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
117,Bristol,Tabletop and games,Quiz nights,quiz night Bristol,880,0.4684,1,quiz night near me,20,0.0000,0,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
118,Bristol,Craft and making,Sip and paint,sip and paint Bristol,590,0.9910,100,sip and paint near me,30,0.2854,100,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
119,Edinburgh,Tabletop and games,Quiz nights,quiz night Edinburgh,1600,0.4177,1,quiz night near me,10,0.0000,4,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
120,Glasgow,Tabletop and games,Board-game cafes,board game cafe Glasgow,260,0.3692,4,board game cafe near me,70,0.0142,9,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
121,Leeds,Tabletop and games,Board-game cafes,board game cafe Leeds,390,0.4625,2,board game cafe near me,50,0.0142,11,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
122,Leeds,Performance and dance,Line dancing,line dancing Leeds,260,0.4507,8,line dancing near me,70,0.5526,3,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
123,Liverpool,Food and drink,Wine tasting,wine tasting Liverpool,880,0.4756,99,wine tasting near me,20,0.8169,100,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
124,Manchester,Craft and making,Sewing classes,sewing classes Manchester,390,0.4238,100,sewing classes near me,50,1.0055,79,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
125,Sheffield,Craft and making,Pottery classes,pottery classes Sheffield,590,0.9328,96,pottery classes near me,30,0.5367,48,52,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
126,Glasgow,Performance and dance,Acting classes,acting classes Glasgow,390,1.1603,31,acting classes near me,40,1.8744,38,51,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
127,Manchester,Performance and dance,Salsa classes,salsa classes Manchester,480,0.9044,17,salsa classes near me,30,0.0000,8,51,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
128,Belfast,Food and drink,Cooking classes,cooking classes Belfast,590,1.6500,10,cooking classes near me,20,0.0000,40,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
129,Belfast,Craft and making,Pottery classes,pottery classes Belfast,390,0.7258,5,pottery classes near me,30,0.0400,8,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
130,Birmingham,Outdoor and endurance,Running clubs,running clubs Birmingham,210,1.1622,9,running clubs near me,70,1.9336,18,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
131,Bristol,Craft and making,Sewing classes,sewing classes Bristol,320,0.4616,100,sewing classes near me,40,0.4259,88,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
132,Cardiff,Tabletop and games,Board-game cafes,board game cafe Cardiff,390,0.0000,0,board game cafe near me,30,0.0000,5,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
133,Edinburgh,Craft and making,Sewing classes,sewing classes Edinburgh,390,0.3866,61,sewing classes near me,30,0.1587,45,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
134,Glasgow,Outdoor and endurance,Running clubs,running clubs Glasgow,260,0.5475,6,running clubs near me,50,0.0000,15,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
135,Leeds,Tabletop and games,Quiz nights,quiz night Leeds,590,0.7073,3,quiz night near me,20,0.0000,3,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
136,Leeds,Craft and making,Sewing classes,sewing classes Leeds,260,0.9523,20,sewing classes near me,50,0.5066,35,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
137,Leeds,Craft and making,Sip and paint,sip and paint Leeds,590,1.2908,100,sip and paint near me,20,0.5803,100,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
138,Liverpool,Tabletop and games,Quiz nights,quiz night Liverpool,590,0.0000,2,quiz night near me,20,0.2534,5,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
139,Liverpool,Craft and making,Sip and paint,sip and paint Liverpool,590,1.2063,100,sip and paint near me,20,0.7185,69,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
140,London,"Wellness, spa and retreats",Yoga retreats,yoga retreats London,210,0.9452,61,yoga retreat near me,70,1.0298,49,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
141,Nottingham,Tabletop and games,Board-game cafes,board game cafe Nottingham,390,0.1083,2,board game cafe near me,30,0.2344,15,50,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
142,Belfast,Social and relationship,Speed dating,speed dating Belfast,880,2.4258,11,speed dating near me,10,0.0000,36,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
143,Bristol,Performance and dance,Salsa classes,salsa classes Bristol,320,0.6630,24,salsa classes near me,30,0.2294,21,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
144,Cardiff,Food and drink,Wine tasting,wine tasting Cardiff,480,0.4765,95,wine tasting near me,20,0.0000,99,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
145,Edinburgh,Performance and dance,Line dancing,line dancing Edinburgh,260,0.5730,1,line dancing near me,40,0.0000,0,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
146,Leeds,Performance and dance,Acting classes,acting classes Leeds,320,2.9571,40,acting classes near me,30,0.7029,63,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
147,Leeds,Outdoor and endurance,Running clubs,running clubs Leeds,260,1.1554,6,running clubs near me,40,0.6209,19,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
148,Liverpool,Tabletop and games,Board-game cafes,board game cafe Liverpool,260,0.0000,0,board game cafe near me,40,0.0676,11,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
149,Liverpool,Outdoor and endurance,Running clubs,running clubs Liverpool,480,1.0461,2,running clubs near me,20,0.0000,13,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
150,Sheffield,Food and drink,Cooking classes,cooking classes Sheffield,480,0.6241,92,cooking classes near me,20,0.1535,94,49,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
151,Birmingham,Tabletop and games,Chess clubs,chess club Birmingham,170,0.0000,0,chess club near me,50,0.0000,2,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
152,Birmingham,Racket and team sport,Volleyball,volleyball clubs Birmingham,110,0.1258,2,volleyball clubs near me,90,0.5419,1,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
153,Bristol,Outdoor and endurance,Running clubs,running clubs Bristol,170,0.4990,7,running clubs near me,50,0.0000,14,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
154,Edinburgh,Outdoor and endurance,Running clubs,running clubs Edinburgh,390,1.2410,4,running clubs near me,20,0.0000,11,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
155,Liverpool,Performance and dance,Line dancing,line dancing Liverpool,210,1.4036,14,line dancing near me,40,5.0235,2,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
156,Newcastle,Food and drink,Wine tasting,wine tasting Newcastle,720,0.6294,98,wine tasting near me,10,0.7736,67,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
157,Reading,Craft and making,Pottery classes,pottery classes Reading,210,0.5501,97,pottery classes near me,40,0.3175,75,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
158,Sheffield,Tabletop and games,Quiz nights,quiz night Sheffield,720,3.5262,1,quiz night near me,10,0.0000,0,48,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
159,Bristol,Performance and dance,Acting classes,acting classes Bristol,320,1.3343,29,acting classes near me,20,1.3917,47,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
160,Bristol,Racket and team sport,Volleyball,volleyball clubs Bristol,260,0.0000,1,volleyball clubs near me,30,0.0000,0,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
161,Glasgow,Performance and dance,Salsa classes,salsa classes Glasgow,260,0.5449,18,salsa classes near me,30,0.3462,8,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
162,Glasgow,Craft and making,Sip and paint,sip and paint Glasgow,320,0.7025,100,sip and paint near me,20,0.0000,76,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
163,Liverpool,Performance and dance,Acting classes,acting classes Liverpool,320,3.2813,37,acting classes near me,20,3.7169,75,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
164,Liverpool,Craft and making,Sewing classes,sewing classes Liverpool,260,0.4582,63,sewing classes near me,30,0.2537,72,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
165,Nottingham,Food and drink,Cooking classes,cooking classes Nottingham,590,0.6014,100,cooking classes near me,10,0.6783,100,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
166,Nottingham,Craft and making,Pottery classes,pottery classes Nottingham,590,0.5210,90,pottery classes near me,10,1.8810,51,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
167,Nottingham,Food and drink,Wine tasting,wine tasting Nottingham,590,0.4592,84,wine tasting near me,10,0.0000,36,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
168,Reading,Competitive experiences,Darts,darts Reading,140,1.0970,26,darts near me,50,3.3110,11,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
169,Southampton,Competitive experiences,Darts,darts Southampton,260,1.2338,22,darts near me,30,0.0000,16,47,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
170,Belfast,Food and drink,Wine tasting,wine tasting Belfast,480,0.5643,100,wine tasting near me,10,0.0000,81,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
171,Birmingham,Racket and team sport,Netball,netball clubs Birmingham,90,0.8950,6,netball clubs near me,70,0.7564,6,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
172,Bristol,Nature and animals,Nature walks,nature walks Bristol,90,0.2075,14,nature walks near me,70,0.3276,20,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
173,Cardiff,Food and drink,Cooking classes,cooking classes Cardiff,480,0.8241,100,cooking classes near me,10,0.4098,84,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
174,Edinburgh,Performance and dance,Acting classes,acting classes Edinburgh,480,1.5327,15,acting classes near me,10,0.5074,47,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
175,Edinburgh,Tabletop and games,Chess clubs,chess club Edinburgh,480,0.4300,3,chess club near me,10,0.0000,0,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
176,Glasgow,Nature and animals,Nature walks,nature walks Glasgow,70,5.0870,6,nature walks near me,90,0.2046,5,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
177,Manchester,Tabletop and games,Chess clubs,chess club Manchester,210,1.9527,1,chess club near me,30,0.0000,1,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
178,Manchester,Racket and team sport,Netball,netball clubs Manchester,170,1.3611,7,netball clubs near me,40,1.4882,4,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
179,Newcastle,Food and drink,Cooking classes,cooking classes Newcastle,480,0.5949,93,cooking classes near me,10,0.9591,100,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
180,Newcastle,Craft and making,Pottery classes,pottery classes Newcastle,480,0.4267,32,pottery classes near me,10,0.1976,51,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
181,Nottingham,Craft and making,Sip and paint,sip and paint Nottingham,480,0.7793,100,sip and paint near me,10,0.0000,0,46,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
182,Bristol,Tabletop and games,Chess clubs,chess club Bristol,170,0.0000,1,chess club near me,30,0.0000,0,45,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
183,Bristol,Racket and team sport,Netball,netball clubs Bristol,170,0.7696,8,netball clubs near me,30,0.8661,11,45,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
184,Glasgow,Tabletop and games,Chess clubs,chess club Glasgow,170,0.0000,0,chess club near me,30,0.0000,1,45,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
185,Leeds,Performance and dance,Salsa classes,salsa classes Leeds,260,1.6762,26,salsa classes near me,20,1.2431,27,45,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
186,Belfast,Tabletop and games,Quiz nights,quiz night Belfast,390,0.7954,2,quiz night near me,10,0.0000,0,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
187,Birmingham,Nature and animals,Nature walks,nature walks Birmingham,40,0.6845,23,nature walks near me,110,0.4070,14,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
188,Cardiff,Performance and dance,Line dancing,line dancing Cardiff,210,3.7948,4,line dancing near me,20,0.0000,0,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
189,Cardiff,Tabletop and games,Quiz nights,quiz night Cardiff,390,0.4930,2,quiz night near me,10,0.0000,0,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
190,Liverpool,Craft and making,General art workshops,art workshops Liverpool,390,1.5045,78,art workshops near me,10,0.2492,100,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
191,Liverpool,Performance and dance,Salsa classes,salsa classes Liverpool,210,0.2156,7,salsa classes near me,20,0.0000,5,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
192,Manchester,Nature and animals,Nature walks,nature walks Manchester,70,0.5672,10,nature walks near me,70,0.7908,10,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
193,Nottingham,Tabletop and games,Quiz nights,quiz night Nottingham,390,1.9847,1,quiz night near me,10,0.0000,0,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
194,Sheffield,Performance and dance,Line dancing,line dancing Sheffield,210,0.8561,2,line dancing near me,20,0.0000,0,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
195,Sheffield,Food and drink,Wine tasting,wine tasting Sheffield,390,0.4775,99,wine tasting near me,10,0.2669,100,44,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
196,Cardiff,Craft and making,Sip and paint,sip and paint Cardiff,320,0.9582,100,sip and paint near me,10,0.0000,100,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
197,Edinburgh,Performance and dance,Salsa classes,salsa classes Edinburgh,320,1.0681,8,salsa classes near me,10,0.0000,8,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
198,Edinburgh,Craft and making,Sip and paint,sip and paint Edinburgh,320,0.8595,100,sip and paint near me,10,0.4975,64,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
199,Leeds,Craft and making,General art workshops,art workshops Leeds,320,1.9819,100,art workshops near me,10,0.0000,29,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
200,Manchester,Tabletop and games,Quiz nights,quiz night Manchester,110,1.7062,14,quiz night near me,30,0.2531,8,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
201,Newcastle,Craft and making,Sip and paint,sip and paint Newcastle,320,0.9233,99,sip and paint near me,10,0.0000,46,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
202,Sheffield,Craft and making,General art workshops,art workshops Sheffield,320,0.7118,80,art workshops near me,10,0.0000,0,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
203,Sheffield,Outdoor and endurance,Running clubs,running clubs Sheffield,320,8.2897,3,running clubs near me,10,5.5090,12,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
204,Sheffield,Craft and making,Sewing classes,sewing classes Sheffield,170,0.4493,16,sewing classes near me,20,0.0000,24,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
205,Sheffield,Craft and making,Sip and paint,sip and paint Sheffield,320,0.6812,97,sip and paint near me,10,0.8009,75,43,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
206,Belfast,Outdoor and endurance,Running clubs,running clubs Belfast,260,0.7963,1,running clubs near me,10,0.0000,5,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
207,Leeds,Tabletop and games,Chess clubs,chess club Leeds,140,0.0000,1,chess club near me,20,0.0000,1,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
208,Leeds,Racket and team sport,Netball,netball clubs Leeds,90,1.4163,7,netball clubs near me,30,2.1761,6,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
209,Manchester,"Wellness, spa and retreats",Spa retreats,spa retreats Manchester,140,0.5578,100,spa retreat near me,20,0.3069,100,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
210,Newcastle,Outdoor and endurance,Running clubs,running clubs Newcastle,260,1.0611,4,running clubs near me,10,0.0000,29,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
211,Nottingham,Performance and dance,Acting classes,acting classes Nottingham,260,0.9553,31,acting classes near me,10,1.0750,93,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
212,Reading,Tabletop and games,Board-game cafes,board game cafe Reading,90,0.0000,0,board game cafe near me,30,0.0905,6,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
213,Reading,Food and drink,Cooking classes,cooking classes Reading,140,0.6587,97,cooking classes near me,20,2.6079,100,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
214,Reading,Food and drink,Wine tasting,wine tasting Reading,140,0.8259,75,wine tasting near me,20,0.9180,86,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
215,Southampton,Tabletop and games,Board-game cafes,board game cafe Southampton,140,0.0000,0,board game cafe near me,20,0.0000,2,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
216,Southampton,Performance and dance,Line dancing,line dancing Southampton,140,0.0000,3,line dancing near me,20,0.0000,1,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
217,Southampton,Craft and making,Pottery classes,pottery classes Southampton,140,1.1739,72,pottery classes near me,20,0.9426,98,42,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
218,Belfast,Performance and dance,Acting classes,acting classes Belfast,210,2.9123,7,acting classes near me,10,0.0000,0,41,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
219,Birmingham,Tabletop and games,Quiz nights,quiz night Birmingham,50,0.0000,1,quiz night near me,50,0.0000,5,41,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
220,Cardiff,Outdoor and endurance,Running clubs,running clubs Cardiff,210,0.4893,3,running clubs near me,10,0.0000,17,41,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
221,Liverpool,Nature and animals,Nature walks,nature walks Liverpool,50,0.1929,14,nature walks near me,50,0.2437,10,41,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
