rank,family,format,archetype,primary_keyword,returned_keyword,close_variant_group,primary_average_monthly_searches,support_keyword_observations,competition,competition_index,average_cpc_gbp,peak_month,peak_searches,low_month,low_searches,peak_to_low_ratio,demand_score_20,commercial_intent_rating_5,repeatability_rating_5,social_design_rating_5,operating_ease_rating_5,revenue_depth_rating_5,eventization_headroom_rating_5,launch_potential_score_100,decision,recommended_entry_model,intent_caveat,evidence_class,evidence_coverage,largest_unknown,observed_at
63,Racket and team sport,Badminton,facility_sport,badminton clubs near me,badminton clubs near me,badminton clubs near me,5400,badminton near me:12100,LOW,4,1.0509,2026-february,9900,2026-june,3600,2.75,18,5,4,4,2,4,3,78,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
64,"Ideas, books and learning",Book clubs,hobby_club,book club near me,book club near me,book club near me|book clubs near me,4400,book clubs near me:4400,LOW,13,0.9092,2026-january,6600,2025-december,3600,1.83,16,2,5,5,5,2,4,78,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
65,"Ideas, books and learning",Reading groups,hobby_club,reading groups near me,reading groups near me,reading groups near me,4400,reading group near me:4400,LOW,13,0.9092,2026-january,6600,2025-december,3600,1.83,16,2,5,5,5,2,4,78,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
66,"Wellness, spa and retreats",Wellness retreats,retreat,wellness retreats uk,wellness retreats uk,wellness retreats uk,2400,wellness retreat near me:1000,HIGH,94,0.8189,2025-august,2900,2025-november,1900,1.53,14,5,3,4,3,5,4,78,strong_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
67,"Wellness, spa and retreats",Spa retreats,retreat,spa retreats uk,spa retreats uk,spa retreats uk,1300,spa retreat near me:1600,HIGH,100,0.8113,2026-january,1600,2026-june,880,1.82,14,5,3,4,3,5,4,78,strong_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
68,"Wellness, spa and retreats",Meditation retreats,retreat,meditation retreats uk,meditation retreats uk,meditation retreats uk,1000,meditation retreat near me:2400,MEDIUM,48,1.6438,2025-august,1300,2025-november,880,1.48,14,5,3,4,3,5,4,78,strong_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
69,Community and alternative,Silent discos,participatory_performance,silent disco near me,silent disco near me,silent disco near me,1000,silent disco events near me:70,LOW,31,1.6047,2025-august,1600,2025-december,720,2.22,14,4,3,5,4,4,4,78,strong_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
70,Social and relationship,Singles events,social_first,singles events near me,singles events near me,singles events near me,880,singles events:480,MEDIUM,40,2.3693,2025-august,1000,2025-september,720,1.39,12,4,4,5,5,4,3,78,strong_test,owned hosted series in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
71,"Wellness, spa and retreats",Men's retreats,retreat,mens retreats uk,mens retreats uk,mens retreats uk,140,mens retreat near me:20,LOW,20,1.0583,2025-august,210,2025-november,110,1.91,8,5,3,5,3,5,5,78,strong_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
72,Tabletop and games,Board-game nights,tabletop,board game night near me,board game night near me,board game night near me,90,board game events near me:40,LOW,3,0.0000,2026-january,140,2025-september,50,2.80,6,4,5,5,5,4,4,78,strong_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
73,Competitive experiences,Axe throwing,venue_entertainment,axe throwing near me,axe throwing near me,axe throwing near me,6600,axe throwing:14800,LOW,27,1.1603,2025-august,8100,2026-june,3600,2.25,18,5,3,4,2,5,3,77,partner_led_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
74,Outdoor and endurance,Open-water swimming,outdoor_club,open water swimming near me,open water swimming near me,open water swimming near me,5400,wild swimming groups near me:140,LOW,7,0.5340,2025-august,12100,2025-november,1300,9.31,18,3,5,5,1,3,4,77,partner_led_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
75,Craft and making,Sip and paint,portable_craft,sip and paint near me,sip and paint near me,sip and paint near me,3600,sip and paint:12100,HIGH,98,0.5167,2025-august,4400,2025-november,2900,1.52,16,4,3,4,4,4,4,77,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
76,Food and drink,Gin tasting,tasting,gin tasting near me,gin tasting near me,gin tasting near me,720,gin tasting experience:720,HIGH,100,0.8598,2025-august,880,2026-january,590,1.49,12,5,3,4,5,5,3,77,partner_led_test,producer and venue partnership while the operator owns the audience,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
77,Craft and making,Glassblowing,studio_craft,glass blowing near me,glass blowing near me,glass blowing near me,720,glass blowing experience:1300,MEDIUM,49,0.5773,2025-august,880,2025-december,590,1.49,12,5,4,4,2,5,4,77,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
78,Food and drink,Whisky tasting,tasting,whisky tasting near me,whisky tasting near me,whisky tasting near me|whiskey tasting near me,720,whiskey tasting near me:720,HIGH,100,0.7704,2025-november,880,2026-january,480,1.83,12,5,3,4,5,5,3,77,partner_led_test,producer and venue partnership while the operator owns the audience,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
79,Outdoor and endurance,Hiking groups,outdoor_club,hiking groups near me,hiking groups near me,hiking groups near me,590,hiking club near me:390,MEDIUM,34,1.2747,2026-january,720,2025-october,480,1.50,12,3,5,5,4,3,4,77,partner_led_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
80,"Wellness, spa and retreats",Fitness retreats,retreat,fitness retreats uk,fitness retreats uk,fitness retreats uk,480,fitness retreat near me:30,MEDIUM,60,0.8632,2025-september,720,2025-november,390,1.85,10,5,4,4,3,5,4,77,partner_led_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
81,Performance and dance,Improv classes,participatory_performance,improv classes near me,improv classes near me,improv classes near me,480,improv workshop near me:10,MEDIUM,35,1.6720,2025-september,720,2026-july,390,1.85,10,4,4,5,4,4,4,77,partner_led_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
82,Technical and maker hobbies,LEGO clubs,hobby_club,lego club near me,lego club near me,lego club near me,480,adult lego club near me:20,LOW,3,1.2780,2026-january,720,2026-may,320,2.25,10,3,5,5,5,3,4,77,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
83,"Ideas, books and learning",Astronomy clubs,hobby_club,astronomy club near me,astronomy club near me,astronomy club near me,390,astronomy groups near me:50,LOW,2,7.3313,2026-january,590,2026-june,210,2.81,10,3,5,5,5,3,4,77,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
84,Craft and making,Crochet groups,hobby_club,crochet groups near me,crochet groups near me,crochet groups near me,320,crochet club near me:480,LOW,3,0.0000,2026-january,480,2025-december,260,1.85,10,3,5,5,5,3,4,77,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
85,"Ideas, books and learning",Debate clubs,hobby_club,debate club near me,debate club near me,debate club near me,320,debating society near me:90,LOW,8,5.3309,2025-september,480,2026-may,210,2.29,10,3,5,5,5,3,4,77,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
86,Live culture,Film clubs,hobby_club,film club near me,film club near me,film club near me,320,cinema club near me:70,LOW,4,14.9328,2025-october,480,2025-december,260,1.85,10,3,5,5,5,3,4,77,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
87,"Wellness, spa and retreats",Women's retreats,retreat,womens retreats uk,womens retreats uk,womens retreats uk,320,womens retreat near me:110,MEDIUM,55,0.7937,2026-may,480,2025-december,210,2.29,10,5,3,5,3,5,4,77,partner_led_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
88,"Wellness, spa and retreats",Art retreats,retreat,art retreats uk,art retreats uk,art retreats uk,210,art retreat near me:50,MEDIUM,43,0.5432,2026-january,320,2025-december,170,1.88,10,5,4,4,3,5,4,77,partner_led_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
89,Technical and maker hobbies,Drone clubs,hobby_club,drone club near me,drone club near me,drone club near me,210,drone groups near me:10,LOW,6,1.1715,2025-august,260,2025-october,210,1.24,10,3,5,5,5,3,4,77,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
90,Performance and dance,Drumming circles,participatory_performance,drumming circle near me,drumming circle near me,drumming circle near me,210,drumming workshop near me:90,LOW,5,0.0000,2025-august,260,2025-december,140,1.86,10,4,4,5,4,4,4,77,partner_led_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
91,Racket and team sport,Cricket,team_sport,cricket clubs near me,cricket clubs near me,cricket clubs near me,9900,social cricket near me:30,LOW,3,0.4017,2026-may,14800,2025-december,5400,2.74,18,4,5,4,1,4,3,76,partner_led_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
92,Outdoor and endurance,Canoeing,facility_sport,canoeing near me,canoeing near me,canoeing near me,2900,canoe clubs near me:390,MEDIUM,33,0.5382,2025-august,8100,2025-december,480,16.88,16,5,4,4,2,4,3,76,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
93,Outdoor and endurance,Sailing clubs,facility_sport,sailing clubs near me,sailing clubs near me,sailing clubs near me|sailing club near me,2900,sailing club near me:2900,LOW,12,0.8537,2025-august,4400,2025-december,1300,3.38,16,5,4,4,2,4,3,76,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
94,Community and alternative,Community choirs,community_format,community choir near me,community choir near me,community choir near me|community choirs near me,590,community choirs near me:590,LOW,3,5.8421,2025-december,1000,2026-july,320,3.13,12,3,5,5,5,3,3,76,partner_led_test,sponsor or venue-funded community layer rather than ticket-first,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
95,Social and relationship,Supper clubs,social_first,supper club near me,supper club near me,supper club near me,480,supper club:3600,LOW,12,1.1522,2026-march,590,2025-november,390,1.51,10,5,4,4,5,4,3,76,partner_led_test,owned hosted series in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
96,Racket and team sport,Touch rugby,team_sport,touch rugby near me,touch rugby near me,touch rugby near me,390,social rugby near me:10,LOW,6,0.6873,2025-september,480,2025-december,260,1.85,10,4,5,5,2,4,4,76,partner_led_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
97,Social and relationship,General social events,social_first,social events near me,social events near me,social events near me,320,social events:480,LOW,12,1.8870,2025-august,390,2025-december,210,1.86,10,4,4,5,5,4,3,76,partner_led_test,owned hosted series in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
98,Tabletop and games,Poker nights,tabletop,poker nights near me,poker nights near me,poker nights near me,170,poker club near me:140,LOW,6,0.0000,2025-september,260,2026-june,110,2.36,8,4,5,5,3,4,4,76,partner_led_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
99,Community and alternative,Phone-free events,social_first,phone free events,phone free events,phone free events,20,offline events near me:10,LOW,0,0.0000,2026-march,30,2025-august,10,3.00,4,4,4,5,5,4,5,76,partner_led_test,owned hosted series in a partner venue,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
100,Social and relationship,Sober socials,social_first,sober social events,sober social events,sober social events,10,sober events near me:40,LOW,0,0.0000,2025-august,10,2025-august,10,1.00,4,4,4,5,5,4,5,76,partner_led_test,owned hosted series in a partner venue,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
101,Fitness and mind-body,Yoga classes,fitness_class,yoga classes near me,yoga classes near me,yoga classes near me,27100,yoga near me:40500,LOW,21,1.3680,2026-january,33100,2025-december,18100,1.83,20,5,5,2,4,4,1,75,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
102,Fitness and mind-body,Pilates classes,fitness_class,pilates classes near me,pilates classes near me,pilates classes near me,18100,pilates near me:74000,LOW,28,1.2947,2026-january,22200,2025-december,12100,1.83,20,5,5,2,4,4,1,75,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
103,Competitive experiences,Shuffleboard,venue_entertainment,shuffleboard near me,shuffleboard near me,shuffleboard near me,3600,shuffleboard bar near me:50,LOW,30,0.3205,2025-october,4400,2026-june,2400,1.83,16,5,3,4,2,5,3,75,partner_led_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
104,Technical and maker hobbies,Repair cafes,community_format,repair cafe near me,repair cafe near me,repair cafe near me|repair cafes near me,2900,repair cafes near me:2900,LOW,3,1.3777,2026-february,5400,2025-december,1900,2.84,16,2,5,5,5,2,3,75,partner_led_test,sponsor or venue-funded community layer rather than ticket-first,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
105,Craft and making,Painting classes,portable_craft,painting classes near me,painting classes near me,painting classes near me,1900,painting workshop near me:320,HIGH,83,0.8669,2026-january,2400,2025-december,1600,1.50,14,4,3,4,4,4,4,75,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
106,Food and drink,Baking classes,food_class,baking classes near me,baking classes near me,baking classes near me,1600,baking courses near me:1300,HIGH,91,0.7691,2025-august,1900,2026-july,1000,1.90,14,5,3,4,3,5,3,75,partner_led_test,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
107,Food and drink,Cake decorating,food_class,cake decorating classes near me,cake decorating classes near me,cake decorating classes near me,1600,cake decorating course near me:720,HIGH,100,0.4378,2025-august,1900,2026-april,1300,1.46,14,5,3,4,3,5,3,75,partner_led_test,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
108,Craft and making,Drawing classes,portable_craft,drawing classes near me,drawing classes near me,drawing classes near me,1300,adult drawing classes near me:40,MEDIUM,36,1.3041,2026-january,1900,2026-april,1000,1.90,14,4,3,4,4,4,4,75,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
109,"Ideas, books and learning",Creative-writing classes,technical_workshop,creative writing classes near me,creative writing classes near me,creative writing classes near me,1000,creative writing workshops near me:1000,HIGH,70,2.1169,2025-september,1600,2025-december,880,1.82,14,4,3,4,3,5,4,75,partner_led_test,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
110,Nature and animals,Foraging courses,nature_class,foraging courses near me,foraging courses near me,foraging courses near me,1000,foraging walks near me:70,HIGH,100,0.5487,2025-october,1900,2026-january,590,3.22,14,4,3,4,4,4,4,75,partner_led_test,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
111,Craft and making,Watercolour classes,portable_craft,watercolour classes near me,watercolour classes near me,watercolour classes near me,1000,watercolour workshop near me:110,MEDIUM,63,1.1495,2026-january,1600,2026-april,720,2.22,14,4,3,4,4,4,4,75,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
112,Craft and making,Silversmithing,studio_craft,silversmithing courses near me,silversmithing courses near me,silversmithing courses near me,480,silversmithing workshop near me:50,HIGH,96,0.5826,2025-november,590,2026-june,320,1.84,10,5,4,4,2,5,4,75,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
113,Craft and making,Stained glass,studio_craft,stained glass courses near me,stained glass courses near me,stained glass courses near me,480,stained glass workshop near me:480,HIGH,98,0.9815,2025-november,720,2026-may,260,2.77,10,5,4,4,2,5,4,75,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
114,Outdoor and endurance,Triathlon clubs,outdoor_club,triathlon clubs near me,triathlon clubs near me,triathlon clubs near me|triathlon club near me,480,triathlon club near me:480,LOW,7,0.5280,2025-august,590,2025-december,320,1.84,10,3,5,5,4,3,4,75,partner_led_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
115,Food and drink,Cocktail masterclasses,tasting,cocktail making class near me,cocktail making class near me,cocktail making class near me,390,cocktail masterclass near me:110,HIGH,100,1.2436,2025-august,480,2026-april,320,1.50,10,5,3,4,5,5,3,75,partner_led_test,producer and venue partnership while the operator owns the audience,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
116,Nature and animals,Dog-walking groups,outdoor_club,dog walking groups near me,dog walking groups near me,dog walking groups near me,390,group dog walks near me:170,LOW,2,1.6514,2026-january,720,2025-december,320,2.25,10,3,5,5,4,3,4,75,partner_led_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
117,Tabletop and games,Murder-mystery dinners,venue_entertainment,murder mystery dinner near me,murder mystery dinner near me,murder mystery dinner near me,390,murder mystery events near me:390,HIGH,100,0.5793,2025-september,720,2026-april,170,4.24,10,5,3,5,2,5,4,75,partner_led_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
118,Food and drink,Beer tasting,tasting,beer tasting near me,beer tasting near me,beer tasting near me,320,beer tasting experience:480,HIGH,100,0.7245,2025-september,480,2026-january,260,1.85,10,5,3,4,5,5,3,75,partner_led_test,producer and venue partnership while the operator owns the audience,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
119,Craft and making,Furniture restoration,studio_craft,furniture restoration courses near me,furniture restoration courses near me,furniture restoration courses near me,260,furniture restoration workshop near me:0,MEDIUM,37,0.7918,2025-august,390,2026-may,140,2.79,10,5,4,4,2,5,4,75,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
120,Craft and making,Woodturning,studio_craft,woodturning courses near me,woodturning courses near me,woodturning courses near me,260,woodturning classes near me:260,MEDIUM,42,1.0544,2025-november,390,2026-july,140,2.79,10,5,4,4,2,5,4,75,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
121,Craft and making,Quilting groups,hobby_club,quilting groups near me,quilting groups near me,quilting groups near me,170,quilting club near me:30,LOW,4,3.8479,2025-august,210,2025-december,110,1.91,8,3,5,5,5,3,4,75,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
122,Performance and dance,Music jam sessions,hobby_club,jam sessions near me,jam sessions near me,jam sessions near me,110,music jam near me:20,LOW,2,6.1610,2026-january,140,2026-june,70,2.00,8,3,5,5,5,3,4,75,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
123,Community and alternative,Volunteering,community_format,volunteering near me,volunteering near me,volunteering near me,12100,volunteer events near me:12100,MEDIUM,42,2.5567,2025-september,14800,2026-april,8100,1.83,20,1,5,5,5,1,3,74,partner_led_test,sponsor or venue-funded community layer rather than ticket-first,Participation demand is real but consumer ticket intent is weak,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
124,Outdoor and endurance,Rowing clubs,facility_sport,rowing clubs near me,rowing clubs near me,rowing clubs near me|rowing club near me,2400,rowing club near me:2400,LOW,2,0.0682,2026-february,2900,2025-december,1300,2.23,14,5,4,4,2,4,3,74,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
125,Racket and team sport,Table tennis,facility_sport,table tennis clubs near me,table tennis clubs near me,table tennis clubs near me,2400,table tennis near me:6600,LOW,3,0.3410,2025-september,2900,2026-may,1600,1.81,14,5,4,4,2,4,3,74,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
