submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,city,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
skip hire Leeds,skip hire leeds,skip hire Leeds,skip hire Leeds,skip_hire,skip hire,planned_trade,Leeds,2900,HIGH,78,1.9386,0.4811,2.7019,explicit_city_query_under_uk_target,2026-09-03
skip hire Liverpool,skip hire liverpool,skip hire Liverpool,skip hire Liverpool,skip_hire,skip hire,planned_trade,Liverpool,2400,MEDIUM,65,2.1744,0.3953,2.7208,explicit_city_query_under_uk_target,2026-09-03
skip hire Bristol,skip hire bristol,skip hire Bristol,skip hire Bristol,skip_hire,skip hire,planned_trade,Bristol,2900,HIGH,79,2.0271,0.5547,2.6141,explicit_city_query_under_uk_target,2026-09-03
skip hire Sheffield,skip hire sheffield,skip hire Sheffield,skip hire Sheffield,skip_hire,skip hire,planned_trade,Sheffield,2900,HIGH,76,2.1284,0.4289,2.7307,explicit_city_query_under_uk_target,2026-09-03
skip hire Edinburgh,skip hire edinburgh,skip hire Edinburgh,skip hire Edinburgh,skip_hire,skip hire,planned_trade,Edinburgh,1300,HIGH,67,1.5062,0.3275,2.7084,explicit_city_query_under_uk_target,2026-09-03
skip hire Cardiff,skip hire cardiff,skip hire Cardiff,skip hire Cardiff,skip_hire,skip hire,planned_trade,Cardiff,1900,HIGH,74,1.7525,0.3492,1.9859,explicit_city_query_under_uk_target,2026-09-03
skip hire Nottingham,skip hire nottingham,skip hire Nottingham,skip hire Nottingham,skip_hire,skip hire,planned_trade,Nottingham,3600,HIGH,81,2.2265,0.5099,2.7375,explicit_city_query_under_uk_target,2026-09-03
skip hire Newcastle,skip hire newcastle,skip hire Newcastle,skip hire Newcastle,skip_hire,skip hire,planned_trade,Newcastle,880,HIGH,70,1.6800,0.3192,2.2163,explicit_city_query_under_uk_target,2026-09-03
skip hire Leicester,skip hire leicester,skip hire Leicester,skip hire Leicester,skip_hire,skip hire,planned_trade,Leicester,2900,HIGH,73,2.1932,0.3987,2.7225,explicit_city_query_under_uk_target,2026-09-03
skip hire Southampton,skip hire southampton,skip hire Southampton,skip hire Southampton,skip_hire,skip hire,planned_trade,Southampton,1300,HIGH,72,1.8674,0.3664,2.1438,explicit_city_query_under_uk_target,2026-09-03
skip hire Brighton,skip hire brighton,skip hire Brighton,skip hire Brighton,skip_hire,skip hire,planned_trade,Brighton,1000,HIGH,75,2.0107,0.5625,2.7352,explicit_city_query_under_uk_target,2026-09-03
skip hire Coventry,skip hire coventry,skip hire Coventry,skip hire Coventry,skip_hire,skip hire,planned_trade,Coventry,1600,HIGH,69,2.0680,0.3798,2.4727,explicit_city_query_under_uk_target,2026-09-03
skip hire Belfast,skip hire belfast,skip hire Belfast,skip hire Belfast,skip_hire,skip hire,planned_trade,Belfast,1900,MEDIUM,53,1.9019,0.5115,2.7227,explicit_city_query_under_uk_target,2026-09-03
skip hire Reading,skip hire reading,skip hire Reading,skip hire Reading,skip_hire,skip hire,planned_trade,Reading,1300,HIGH,81,2.4251,0.4993,2.9763,explicit_city_query_under_uk_target,2026-09-03
skip hire Oxford,skip hire oxford,skip hire Oxford,skip hire Oxford,skip_hire,skip hire,planned_trade,Oxford,880,MEDIUM,66,2.0790,0.3989,2.7227,explicit_city_query_under_uk_target,2026-09-03
skip hire Cambridge,skip hire cambridge,skip hire Cambridge,skip hire Cambridge,skip_hire,skip hire,planned_trade,Cambridge,880,HIGH,73,2.2857,0.6256,3.1736,explicit_city_query_under_uk_target,2026-09-03
skip hire Aberdeen,skip hire aberdeen,skip hire Aberdeen,skip hire Aberdeen,skip_hire,skip hire,planned_trade,Aberdeen,880,MEDIUM,56,1.5638,0.4756,2.4869,explicit_city_query_under_uk_target,2026-09-03
skip hire Plymouth,skip hire plymouth,skip hire Plymouth,skip hire Plymouth,skip_hire,skip hire,planned_trade,Plymouth,880,MEDIUM,61,1.9031,0.3488,2.4670,explicit_city_query_under_uk_target,2026-09-03
skip hire Exeter,skip hire exeter,skip hire Exeter,skip hire Exeter,skip_hire,skip hire,planned_trade,Exeter,720,HIGH,75,1.8755,0.6216,2.4951,explicit_city_query_under_uk_target,2026-09-03
skip hire Norwich,skip hire norwich,skip hire Norwich,skip hire Norwich,skip_hire,skip hire,planned_trade,Norwich,1900,HIGH,70,1.5333,0.4195,2.7136,explicit_city_query_under_uk_target,2026-09-03
skip hire Swansea,skip hire swansea,skip hire Swansea,skip hire Swansea,skip_hire,skip hire,planned_trade,Swansea,1000,MEDIUM,65,1.6906,0.3928,2.7256,explicit_city_query_under_uk_target,2026-09-03
skip hire York,skip hire york,skip hire York,skip hire York,skip_hire,skip hire,planned_trade,York,1000,HIGH,81,1.8611,0.5252,1.7762,explicit_city_query_under_uk_target,2026-09-03
solar panel installers London,solar panel installers london,solar panel installers London,solar panel installers London,solar_panel_installers,solar panel installers,high_ticket_home,London,260,MEDIUM,39,6.6713,4.1291,10.1042,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Birmingham,solar panel installers birmingham,solar panel installers Birmingham,solar panel installers Birmingham,solar_panel_installers,solar panel installers,high_ticket_home,Birmingham,70,MEDIUM,34,4.4706,2.9423,12.6608,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Manchester,solar panel installers manchester,solar panel installers Manchester,solar panel installers Manchester,solar_panel_installers,solar panel installers,high_ticket_home,Manchester,140,HIGH,73,5.0891,6.0981,16.7057,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Glasgow,solar panel installers glasgow,solar panel installers Glasgow,solar panel installers Glasgow,solar_panel_installers,solar panel installers,high_ticket_home,Glasgow,320,LOW,27,8.6677,3.5081,10.1456,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Leeds,solar panel installers leeds,solar panel installers Leeds,solar panel installers Leeds,solar_panel_installers,solar panel installers,high_ticket_home,Leeds,50,HIGH,70,2.1348,6.4805,11.9197,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Liverpool,solar panel installers liverpool,solar panel installers Liverpool,solar panel installers Liverpool,solar_panel_installers,solar panel installers,high_ticket_home,Liverpool,30,HIGH,73,13.9463,4.8317,11.2948,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Bristol,solar panel installers bristol,solar panel installers Bristol,solar panel installers Bristol,solar_panel_installers,solar panel installers,high_ticket_home,Bristol,140,MEDIUM,64,10.8828,6.3264,16.8778,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Sheffield,solar panel installers sheffield,solar panel installers Sheffield,solar panel installers Sheffield,solar_panel_installers,solar panel installers,high_ticket_home,Sheffield,90,MEDIUM,51,6.4761,4.8736,14.8001,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Edinburgh,solar panel installers edinburgh,solar panel installers Edinburgh,solar panel installers Edinburgh,solar_panel_installers,solar panel installers,high_ticket_home,Edinburgh,260,MEDIUM,41,16.9626,4.4639,19.7968,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Cardiff,solar panel installers cardiff,solar panel installers Cardiff,solar panel installers Cardiff,solar_panel_installers,solar panel installers,high_ticket_home,Cardiff,50,HIGH,71,4.4968,6.7468,14.4278,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Nottingham,solar panel installers nottingham,solar panel installers Nottingham,solar panel installers Nottingham,solar_panel_installers,solar panel installers,high_ticket_home,Nottingham,210,HIGH,71,8.3599,3.5061,9.2298,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Newcastle,solar panel installers newcastle,solar panel installers Newcastle,solar panel installers Newcastle,solar_panel_installers,solar panel installers,high_ticket_home,Newcastle,70,MEDIUM,35,2.5441,4.4741,9.5395,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Leicester,solar panel installers leicester,solar panel installers Leicester,solar panel installers Leicester,solar_panel_installers,solar panel installers,high_ticket_home,Leicester,70,MEDIUM,44,10.9856,5.3709,15.0973,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Southampton,solar panel installers southampton,solar panel installers Southampton,solar panel installers Southampton,solar_panel_installers,solar panel installers,high_ticket_home,Southampton,50,HIGH,70,5.3337,6.9422,10.7083,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Brighton,solar panel installers brighton,solar panel installers Brighton,solar panel installers Brighton,solar_panel_installers,solar panel installers,high_ticket_home,Brighton,30,LOW,29,0.0000,0.0000,0.0000,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Coventry,solar panel installers coventry,solar panel installers Coventry,solar panel installers Coventry,solar_panel_installers,solar panel installers,high_ticket_home,Coventry,20,LOW,23,7.0219,2.7732,10.8746,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Reading,solar panel installers reading,solar panel installers Reading,solar panel installers Reading,solar_panel_installers,solar panel installers,high_ticket_home,Reading,20,LOW,13,0.0000,0.0000,0.0000,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Oxford,solar panel installers oxford,solar panel installers Oxford,solar panel installers Oxford,solar_panel_installers,solar panel installers,high_ticket_home,Oxford,70,LOW,26,34.3813,14.7817,24.6918,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Cambridge,solar panel installers cambridge,solar panel installers Cambridge,solar panel installers Cambridge,solar_panel_installers,solar panel installers,high_ticket_home,Cambridge,50,MEDIUM,54,13.4684,2.2495,22.5230,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Aberdeen,solar panel installers aberdeen,solar panel installers Aberdeen,solar panel installers Aberdeen,solar_panel_installers,solar panel installers,high_ticket_home,Aberdeen,20,LOW,4,0.0000,0.0000,0.0000,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Plymouth,solar panel installers plymouth,solar panel installers Plymouth,solar panel installers Plymouth,solar_panel_installers,solar panel installers,high_ticket_home,Plymouth,20,MEDIUM,64,4.0917,4.1791,8.3241,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Exeter,solar panel installers exeter,solar panel installers Exeter,solar panel installers Exeter,solar_panel_installers,solar panel installers,high_ticket_home,Exeter,30,LOW,20,20.7646,7.4574,17.6342,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Norwich,solar panel installers norwich,solar panel installers Norwich,solar panel installers Norwich,solar_panel_installers,solar panel installers,high_ticket_home,Norwich,70,MEDIUM,39,7.8517,4.1469,13.0167,explicit_city_query_under_uk_target,2026-09-03
solar panel installers Swansea,solar panel installers swansea,solar panel installers Swansea,solar panel installers Swansea,solar_panel_installers,solar panel installers,high_ticket_home,Swansea,30,HIGH,88,2.4492,4.4970,9.8650,explicit_city_query_under_uk_target,2026-09-03
solar panel installers York,solar panel installers york,solar panel installers York,solar panel installers York,solar_panel_installers,solar panel installers,high_ticket_home,York,70,LOW,11,8.5867,0.5925,9.9785,explicit_city_query_under_uk_target,2026-09-03
ev charger installation London,ev charger installation london,ev charger installation London,ev charger installation London,ev_charger_installation,ev charger installation,high_ticket_home,London,110,MEDIUM,50,2.0240,1.8473,5.0976,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Birmingham,ev charger installation birmingham,ev charger installation Birmingham,ev charger installation Birmingham,ev_charger_installation,ev charger installation,high_ticket_home,Birmingham,110,MEDIUM,43,4.3826,1.5900,5.6670,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Manchester,ev charger installation manchester,ev charger installation Manchester,ev charger installation Manchester,ev_charger_installation,ev charger installation,high_ticket_home,Manchester,140,MEDIUM,45,3.7437,1.7214,4.5471,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Glasgow,ev charger installation glasgow,ev charger installation Glasgow,ev charger installation Glasgow,ev_charger_installation,ev charger installation,high_ticket_home,Glasgow,210,MEDIUM,62,3.8453,1.1415,4.5067,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Leeds,ev charger installation leeds,ev charger installation Leeds,ev charger installation Leeds,ev_charger_installation,ev charger installation,high_ticket_home,Leeds,110,MEDIUM,62,4.0405,1.8626,4.5954,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Bristol,ev charger installation bristol,ev charger installation Bristol,ev charger installation Bristol,ev_charger_installation,ev charger installation,high_ticket_home,Bristol,110,MEDIUM,54,4.1385,2.5435,7.1463,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Sheffield,ev charger installation sheffield,ev charger installation Sheffield,ev charger installation Sheffield,ev_charger_installation,ev charger installation,high_ticket_home,Sheffield,90,MEDIUM,66,4.1230,1.3851,4.1166,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Edinburgh,ev charger installation edinburgh,ev charger installation Edinburgh,ev charger installation Edinburgh,ev_charger_installation,ev charger installation,high_ticket_home,Edinburgh,140,HIGH,70,4.5991,1.8292,7.6757,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Cardiff,ev charger installation cardiff,ev charger installation Cardiff,ev charger installation Cardiff,ev_charger_installation,ev charger installation,high_ticket_home,Cardiff,50,MEDIUM,58,5.0415,1.5374,5.7220,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Nottingham,ev charger installation nottingham,ev charger installation Nottingham,ev charger installation Nottingham,ev_charger_installation,ev charger installation,high_ticket_home,Nottingham,90,MEDIUM,39,3.2405,1.4015,5.7936,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Newcastle,ev charger installation newcastle,ev charger installation Newcastle,ev charger installation Newcastle,ev_charger_installation,ev charger installation,high_ticket_home,Newcastle,40,MEDIUM,39,0.7528,1.1374,3.4679,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Leicester,ev charger installation leicester,ev charger installation Leicester,ev charger installation Leicester,ev_charger_installation,ev charger installation,high_ticket_home,Leicester,70,MEDIUM,61,3.2551,1.8954,4.9437,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Southampton,ev charger installation southampton,ev charger installation Southampton,ev charger installation Southampton,ev_charger_installation,ev charger installation,high_ticket_home,Southampton,30,HIGH,74,2.8359,1.9552,3.9644,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Coventry,ev charger installation coventry,ev charger installation Coventry,ev charger installation Coventry,ev_charger_installation,ev charger installation,high_ticket_home,Coventry,70,MEDIUM,58,5.3334,1.7338,4.3250,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Belfast,ev charger installation belfast,ev charger installation Belfast,ev charger installation Belfast,ev_charger_installation,ev charger installation,high_ticket_home,Belfast,40,HIGH,90,2.2715,0.8191,2.2197,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Reading,ev charger installation reading,ev charger installation Reading,ev charger installation Reading,ev_charger_installation,ev charger installation,high_ticket_home,Reading,10,MEDIUM,58,2.9608,0.9821,3.5353,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Oxford,ev charger installation oxford,ev charger installation Oxford,ev charger installation Oxford,ev_charger_installation,ev charger installation,high_ticket_home,Oxford,20,HIGH,84,2.2192,1.2010,3.5796,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Cambridge,ev charger installation cambridge,ev charger installation Cambridge,ev charger installation Cambridge,ev_charger_installation,ev charger installation,high_ticket_home,Cambridge,30,HIGH,71,2.7079,1.1308,3.5955,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Aberdeen,ev charger installation aberdeen,ev charger installation Aberdeen,ev charger installation Aberdeen,ev_charger_installation,ev charger installation,high_ticket_home,Aberdeen,70,MEDIUM,59,3.9650,1.0285,2.9532,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Plymouth,ev charger installation plymouth,ev charger installation Plymouth,ev charger installation Plymouth,ev_charger_installation,ev charger installation,high_ticket_home,Plymouth,40,HIGH,77,4.1694,1.6703,3.9900,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Exeter,ev charger installation exeter,ev charger installation Exeter,ev charger installation Exeter,ev_charger_installation,ev charger installation,high_ticket_home,Exeter,20,HIGH,75,1.7511,1.4758,8.5685,explicit_city_query_under_uk_target,2026-09-03
ev charger installation Norwich,ev charger installation norwich,ev charger installation Norwich,ev charger installation Norwich,ev_charger_installation,ev charger installation,high_ticket_home,Norwich,50,MEDIUM,52,3.5808,1.9739,6.2974,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation London,air conditioning installation london,air conditioning installation London,air conditioning installation London,air_conditioning_installation,air conditioning installation,high_ticket_home,London,1300,HIGH,81,2.4024,0.8836,3.5610,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Birmingham,air conditioning installation birmingham,air conditioning installation Birmingham,air conditioning installation Birmingham,air_conditioning_installation,air conditioning installation,high_ticket_home,Birmingham,140,MEDIUM,58,1.1362,0.3182,1.6782,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Manchester,air conditioning installation manchester,air conditioning installation Manchester,air conditioning installation Manchester,air_conditioning_installation,air conditioning installation,high_ticket_home,Manchester,140,HIGH,78,1.4028,0.4950,2.2610,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Glasgow,air conditioning installation glasgow,air conditioning installation Glasgow,air conditioning installation Glasgow,air_conditioning_installation,air conditioning installation,high_ticket_home,Glasgow,40,MEDIUM,61,8.4533,1.1900,9.5344,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Leeds,air conditioning installation leeds,air conditioning installation Leeds,air conditioning installation Leeds,air_conditioning_installation,air conditioning installation,high_ticket_home,Leeds,40,MEDIUM,65,0.8464,0.4954,1.6573,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Liverpool,air conditioning installation liverpool,air conditioning installation Liverpool,air conditioning installation Liverpool,air_conditioning_installation,air conditioning installation,high_ticket_home,Liverpool,50,HIGH,68,0.8101,0.4076,1.9100,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Bristol,air conditioning installation bristol,air conditioning installation Bristol,air conditioning installation Bristol,air_conditioning_installation,air conditioning installation,high_ticket_home,Bristol,110,HIGH,69,1.2954,0.5329,2.1511,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Sheffield,air conditioning installation sheffield,air conditioning installation Sheffield,air conditioning installation Sheffield,air_conditioning_installation,air conditioning installation,high_ticket_home,Sheffield,70,HIGH,67,1.0110,0.4784,1.9648,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Edinburgh,air conditioning installation edinburgh,air conditioning installation Edinburgh,air conditioning installation Edinburgh,air_conditioning_installation,air conditioning installation,high_ticket_home,Edinburgh,20,MEDIUM,54,2.1123,1.4052,14.5956,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Cardiff,air conditioning installation cardiff,air conditioning installation Cardiff,air conditioning installation Cardiff,air_conditioning_installation,air conditioning installation,high_ticket_home,Cardiff,70,HIGH,72,0.8465,0.3480,1.6725,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Nottingham,air conditioning installation nottingham,air conditioning installation Nottingham,air conditioning installation Nottingham,air_conditioning_installation,air conditioning installation,high_ticket_home,Nottingham,110,MEDIUM,66,1.5555,0.3650,2.2490,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Newcastle,air conditioning installation newcastle,air conditioning installation Newcastle,air conditioning installation Newcastle,air_conditioning_installation,air conditioning installation,high_ticket_home,Newcastle,70,MEDIUM,37,1.8543,1.3910,6.0894,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Leicester,air conditioning installation leicester,air conditioning installation Leicester,air conditioning installation Leicester,air_conditioning_installation,air conditioning installation,high_ticket_home,Leicester,50,MEDIUM,52,1.4983,0.3186,1.7295,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Southampton,air conditioning installation southampton,air conditioning installation Southampton,air conditioning installation Southampton,air_conditioning_installation,air conditioning installation,high_ticket_home,Southampton,50,HIGH,70,0.9048,0.3480,1.9255,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Brighton,air conditioning installation brighton,air conditioning installation Brighton,air conditioning installation Brighton,air_conditioning_installation,air conditioning installation,high_ticket_home,Brighton,30,HIGH,75,2.2088,0.6900,3.0942,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Coventry,air conditioning installation coventry,air conditioning installation Coventry,air conditioning installation Coventry,air_conditioning_installation,air conditioning installation,high_ticket_home,Coventry,30,HIGH,75,0.4204,0.3184,1.8538,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Reading,air conditioning installation reading,air conditioning installation Reading,air conditioning installation Reading,air_conditioning_installation,air conditioning installation,high_ticket_home,Reading,40,HIGH,88,1.0927,0.5694,2.6879,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Oxford,air conditioning installation oxford,air conditioning installation Oxford,air conditioning installation Oxford,air_conditioning_installation,air conditioning installation,high_ticket_home,Oxford,30,MEDIUM,59,1.6207,0.4525,1.9688,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Cambridge,air conditioning installation cambridge,air conditioning installation Cambridge,air conditioning installation Cambridge,air_conditioning_installation,air conditioning installation,high_ticket_home,Cambridge,70,HIGH,68,1.4921,0.8231,1.8682,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Aberdeen,air conditioning installation aberdeen,air conditioning installation Aberdeen,air conditioning installation Aberdeen,air_conditioning_installation,air conditioning installation,high_ticket_home,Aberdeen,10,MEDIUM,36,0.0000,0.0000,0.0000,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Plymouth,air conditioning installation plymouth,air conditioning installation Plymouth,air conditioning installation Plymouth,air_conditioning_installation,air conditioning installation,high_ticket_home,Plymouth,50,MEDIUM,36,1.6355,0.3626,1.9413,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Exeter,air conditioning installation exeter,air conditioning installation Exeter,air conditioning installation Exeter,air_conditioning_installation,air conditioning installation,high_ticket_home,Exeter,10,HIGH,74,0.9528,0.6492,2.1742,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Norwich,air conditioning installation norwich,air conditioning installation Norwich,air conditioning installation Norwich,air_conditioning_installation,air conditioning installation,high_ticket_home,Norwich,30,HIGH,69,0.2589,0.5725,1.5663,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation Swansea,air conditioning installation swansea,air conditioning installation Swansea,air conditioning installation Swansea,air_conditioning_installation,air conditioning installation,high_ticket_home,Swansea,20,MEDIUM,48,1.0207,0.3384,1.3998,explicit_city_query_under_uk_target,2026-09-03
air conditioning installation York,air conditioning installation york,air conditioning installation York,air conditioning installation York,air_conditioning_installation,air conditioning installation,high_ticket_home,York,20,HIGH,68,0.8087,0.5970,1.7519,explicit_city_query_under_uk_target,2026-09-03
asbestos survey London,asbestos survey london,asbestos survey London,asbestos survey London,asbestos_survey,asbestos survey,specialist_compliance,London,1000,MEDIUM,65,28.9942,7.5513,58.4344,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Birmingham,asbestos survey birmingham,asbestos survey Birmingham,asbestos survey Birmingham,asbestos_survey,asbestos survey,specialist_compliance,Birmingham,170,MEDIUM,50,23.4014,6.1560,48.8270,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Manchester,asbestos survey manchester,asbestos survey Manchester,asbestos survey Manchester,asbestos_survey,asbestos survey,specialist_compliance,Manchester,170,MEDIUM,59,24.6552,7.3248,58.2068,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Glasgow,asbestos survey glasgow,asbestos survey Glasgow,asbestos survey Glasgow,asbestos_survey,asbestos survey,specialist_compliance,Glasgow,170,MEDIUM,53,16.4672,2.6628,14.0278,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Leeds,asbestos survey leeds,asbestos survey Leeds,asbestos survey Leeds,asbestos_survey,asbestos survey,specialist_compliance,Leeds,140,MEDIUM,48,23.9220,3.2511,90.0140,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Liverpool,asbestos survey liverpool,asbestos survey Liverpool,asbestos survey Liverpool,asbestos_survey,asbestos survey,specialist_compliance,Liverpool,90,MEDIUM,57,13.1342,5.5619,80.5873,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Bristol,asbestos survey bristol,asbestos survey Bristol,asbestos survey Bristol,asbestos_survey,asbestos survey,specialist_compliance,Bristol,170,MEDIUM,65,10.9658,3.7294,57.8545,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Sheffield,asbestos survey sheffield,asbestos survey Sheffield,asbestos survey Sheffield,asbestos_survey,asbestos survey,specialist_compliance,Sheffield,90,MEDIUM,41,36.5016,3.2555,52.2600,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Edinburgh,asbestos survey edinburgh,asbestos survey Edinburgh,asbestos survey Edinburgh,asbestos_survey,asbestos survey,specialist_compliance,Edinburgh,170,HIGH,70,14.6237,2.4884,11.6137,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Cardiff,asbestos survey cardiff,asbestos survey Cardiff,asbestos survey Cardiff,asbestos_survey,asbestos survey,specialist_compliance,Cardiff,70,MEDIUM,65,5.0082,1.9342,58.4834,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Nottingham,asbestos survey nottingham,asbestos survey Nottingham,asbestos survey Nottingham,asbestos_survey,asbestos survey,specialist_compliance,Nottingham,170,LOW,27,21.4544,4.6486,93.2704,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Newcastle,asbestos survey newcastle,asbestos survey Newcastle,asbestos survey Newcastle,asbestos_survey,asbestos survey,specialist_compliance,Newcastle,70,MEDIUM,48,3.8856,1.9723,5.5651,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Leicester,asbestos survey leicester,asbestos survey Leicester,asbestos survey Leicester,asbestos_survey,asbestos survey,specialist_compliance,Leicester,70,MEDIUM,52,21.5583,7.3581,54.2006,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Southampton,asbestos survey southampton,asbestos survey Southampton,asbestos survey Southampton,asbestos_survey,asbestos survey,specialist_compliance,Southampton,90,HIGH,73,15.1502,4.0127,13.1141,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Brighton,asbestos survey brighton,asbestos survey Brighton,asbestos survey Brighton,asbestos_survey,asbestos survey,specialist_compliance,Brighton,70,MEDIUM,52,12.7030,6.7533,66.0931,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Coventry,asbestos survey coventry,asbestos survey Coventry,asbestos survey Coventry,asbestos_survey,asbestos survey,specialist_compliance,Coventry,50,MEDIUM,49,26.7470,7.5175,55.5494,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Belfast,asbestos survey belfast,asbestos survey Belfast,asbestos survey Belfast,asbestos_survey,asbestos survey,specialist_compliance,Belfast,30,MEDIUM,64,2.1134,1.2299,3.2237,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Reading,asbestos survey reading,asbestos survey Reading,asbestos survey Reading,asbestos_survey,asbestos survey,specialist_compliance,Reading,40,MEDIUM,62,27.2205,6.3172,77.3800,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Oxford,asbestos survey oxford,asbestos survey Oxford,asbestos survey Oxford,asbestos_survey,asbestos survey,specialist_compliance,Oxford,70,MEDIUM,50,23.5358,7.9067,39.8469,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Cambridge,asbestos survey cambridge,asbestos survey Cambridge,asbestos survey Cambridge,asbestos_survey,asbestos survey,specialist_compliance,Cambridge,70,HIGH,68,20.4887,6.8552,56.9079,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Aberdeen,asbestos survey aberdeen,asbestos survey Aberdeen,asbestos survey Aberdeen,asbestos_survey,asbestos survey,specialist_compliance,Aberdeen,40,LOW,30,5.3002,2.3122,5.2962,explicit_city_query_under_uk_target,2026-09-03
asbestos survey Plymouth,asbestos survey plymouth,asbestos survey Plymouth,asbestos survey Plymouth,asbestos_survey,asbestos survey,specialist_compliance,Plymouth,40,MEDIUM,54,10.5028,4.0419,8.9939,explicit_city_query_under_uk_target,2026-09-03
